Protein,Trend,State_0,State_1,State_2,State_3,State_4
CALCOCO1,"0-2 Increasing, 3-4 Decreasing",0.0,0.5107887191866891,0.8135448047099719,1.0,0.32421002905916685
CALCA,Gradually Increasing,0.0,0.39607901508231114,0.5655863285128934,0.9885080850443109,1.0
CALCA,"0-2 Increasing, 3-4 Decreasing",0.0,0.39607901508231114,0.5655863285128934,0.9885080850443109,1.0
CALB2,Fluctuating,0.0,0.8938571565950533,1.0,0.9472595544929737,0.978396093215878
CALB1,Fluctuating,0.2709308029857901,0.0,0.09426170986382658,1.0,0.9703031171233925
ACTA2,Gradually Increasing,0.0,0.4623269742810157,0.6531078451552574,0.8448544729229346,1.0
ACTA2,Fluctuating,0.0,0.4623269742810157,0.6531078451552574,0.8448544729229346,1.0
ACP6,Fluctuating,0.0,0.6471655345884538,1.0,0.9439118680448875,0.7496696598506214
ACP5,Gradually Increasing,0.0,0.353755267975253,0.4838602116826694,0.9777821342663112,1.0
ACP5,Fluctuating,0.0,0.353755267975253,0.4838602116826694,0.9777821342663112,1.0
ACOX1,"0-2 Increasing, 3-4 Decreasing",0.0,0.8669023794657443,1.0,0.9944334055837942,0.7430214808431002
ACE2,"0-2 Increasing, 3-4 Decreasing",0.0,0.4146360359592999,0.6199580750242705,1.0,0.934231751745941
ACAN,"0-2 Decreasing, 3-4 Increasing",1.0,0.7518740133630616,0.5629416312845266,0.0,0.22056032087820798
ACAA1,"0-2 Increasing, 3-4 Decreasing",0.0,0.47646599835332343,0.6880303359486662,1.0,0.808973851589026
ABL1,"0-2 Increasing, 3-4 Decreasing",0.0,0.7012106153766151,0.992294802751138,1.0,0.7597516724101636
ABHD14B,Fluctuating,0.0,0.6988056302031631,1.0,0.6236411050758639,0.5752472297125737
AARSD1,"0-2 Increasing, 3-4 Decreasing",0.0,0.41098921141678363,0.7530423181289237,1.0,0.8725642295423015
CCL17,Fluctuating,0.0,0.6036576406789705,1.0,0.7724935275836307,0.6317844064132943
CCL22,Fluctuating,0.0,0.6982867934274816,1.0,0.8682272595622114,0.9783723909462435
CCL21,Gradually Increasing,0.0,0.35103890026519724,0.5707136403864248,0.8191180986531651,1.0
CCL21,Fluctuating,0.0,0.35103890026519724,0.5707136403864248,0.8191180986531651,1.0
CCL20,Gradually Increasing,0.0,0.32616874575779936,0.5701699731372403,0.7840257025430661,1.0
CCL20,Fluctuating,0.0,0.32616874575779936,0.5701699731372403,0.7840257025430661,1.0
CCL2,"0-2 Increasing, 3-4 Decreasing",0.0,0.47033133922045395,0.6554623441772567,1.0,0.700157100228516
CCL19,Gradually Increasing,0.0,0.45387736568285014,0.7029655531144643,0.765766571249814,1.0
CCL19,Fluctuating,0.0,0.45387736568285014,0.7029655531144643,0.765766571249814,1.0
CCL18,Fluctuating,0.0,0.7539585212922292,1.0,0.8785622894839871,0.8874958354792919
CCL24,Fluctuating,0.0,0.9314994720397525,0.8918379439448778,0.9009163143862091,1.0
CCL16,Gradually Increasing,0.0,0.6031520759215613,0.8257819642814604,0.9272162817273383,1.0
CCL16,Fluctuating,0.0,0.6031520759215613,0.8257819642814604,0.9272162817273383,1.0
CCL15,Gradually Increasing,0.0,0.2069861314926473,0.4219592602294847,0.8437062983748849,1.0
CCL15,Fluctuating,0.0,0.2069861314926473,0.4219592602294847,0.8437062983748849,1.0
CCL14,Gradually Increasing,0.0,0.58405556470296,0.8211616320608053,0.8248076426095663,1.0
CCL14,Fluctuating,0.0,0.58405556470296,0.8211616320608053,0.8248076426095663,1.0
CCL13,"0-2 Increasing, 3-4 Decreasing",0.0,0.6022374830050715,0.8521394907176225,1.0,0.8624102380461773
CCL11,Gradually Increasing,0.0,0.07111628896471171,0.24517822899377378,0.8340987665034605,1.0
CCL11,Fluctuating,0.0,0.07111628896471171,0.24517822899377378,0.8340987665034605,1.0
CCL23,Fluctuating,0.19807769187915938,0.8565861226027954,1.0,0.5339262830763917,0.0
CCL5,Fluctuating,0.0,0.7935861268930507,1.0,0.8382529726588915,0.8568890100341877
CCN4,Gradually Increasing,0.0,0.41590729669745236,0.6089981268055682,0.8975075306230049,1.0
CCN4,Fluctuating,0.0,0.41590729669745236,0.6089981268055682,0.8975075306230049,1.0
CCN3,Fluctuating,0.0,0.6848929518333746,0.9099733819720734,0.8465587355920142,1.0
CCN2,Fluctuating,0.0,0.791204088205181,1.0,0.9720760891996979,0.513048904803109
CCN1,Fluctuating,0.0,0.6577604697865888,0.9261223314157608,0.8087250644548913,1.0
CCL8,Fluctuating,0.0,0.7619130475146879,1.0,0.8275930781650417,0.8924114064930697
CCL7,Gradually Increasing,0.0,0.528418951989025,0.760420770461926,0.7989966339267512,1.0
CCL7,Fluctuating,0.0,0.528418951989025,0.760420770461926,0.7989966339267512,1.0
CCN5,Gradually Increasing,0.0,0.6080022937511507,0.7283605312308871,0.9246401527360127,1.0
CCN5,Fluctuating,0.0,0.6080022937511507,0.7283605312308871,0.9246401527360127,1.0
CCL4,Fluctuating,0.0,0.741609033948133,1.0,0.9736868022723081,0.8617159084293615
CCL3,Gradually Increasing,0.0,0.5417464879678785,0.7347814252072731,0.8096664908508239,1.0
CCL3,Fluctuating,0.0,0.5417464879678785,0.7347814252072731,0.8096664908508239,1.0
CCL28,Fluctuating,0.21443064091287484,0.0,0.15756327689197158,0.6829912978472756,1.0
CCL27,Fluctuating,0.0,0.6882660632440882,1.0,0.7897013509959608,0.7275518702376719
CCL26,Fluctuating,0.0,0.5928357302646456,1.0,0.48104250413403965,0.671404898252523
CCL25,Gradually Increasing,0.0,0.26571676494887264,0.45205645911388753,0.7998992718799816,1.0
CCL25,Fluctuating,0.0,0.26571676494887264,0.45205645911388753,0.7998992718799816,1.0
CCDC80,Gradually Increasing,0.0,0.708200208255039,0.900835369774151,0.95190750721163,1.0
CCDC80,Fluctuating,0.0,0.708200208255039,0.900835369774151,0.95190750721163,1.0
CASP3,Fluctuating,0.0,0.9074199327798007,1.0,0.5938840673605428,0.07541509718273091
CASP2,"0-2 Increasing, 3-4 Decreasing",0.0,0.863019660354493,0.9465937466344894,1.0,0.5174438563254454
CASP10,"0-2 Increasing, 3-4 Decreasing",0.0,0.6302350582044811,1.0,0.991805128043099,0.9232216011656779
CASP1,Gradually Increasing,0.0,0.5621157975967049,0.9047705011921928,0.9045381336684915,1.0
CASP1,Fluctuating,0.0,0.5621157975967049,0.9047705011921928,0.9045381336684915,1.0
CARHSP1,Fluctuating,0.0,0.378193183391877,1.0,0.9462489657299492,0.563847678149182
CAPG,"0-2 Increasing, 3-4 Decreasing",0.0,0.6371200071831086,0.8982394497000077,1.0,0.9345787117948137
CANT1,"0-2 Increasing, 3-4 Decreasing",0.0,0.7504728373283915,0.9327069531188457,1.0,0.7599275310119019
CAMKK1,Fluctuating,0.0,0.7333140203203176,1.0,0.7826488415843783,0.8497835492585667
CBLN4,Gradually Increasing,0.0,0.2989815808203788,0.6555780068276865,0.7490871243113232,1.0
CBLN4,Fluctuating,0.0,0.2989815808203788,0.6555780068276865,0.7490871243113232,1.0
CC2D1A,Fluctuating,0.0,0.6610968272130067,1.0,0.9081125036656916,0.674155569040223
CBLIF,Gradually Increasing,0.0,0.0696966802583612,0.20387887930971696,0.9635917909690651,1.0
