Protein,Gradient Importance
ACAN,6.0168533
BCAN,7.115194
B4GAT1,4.2487926
CA14,11.346063
BPIFB1,1.6634288
ADAMTS8,1.6875818
ADGRG2,5.587354
APLP1,1.2923054
ARNT,1.5636468
SMPDL3A,2.416797
CD200,4.590036
CD1C,1.4725324
CD34,1.7190824
PSMA1,2.7968836
PRL,1.5642556
PTPRN2,5.984208
SCG3,4.3943048
VCAN,1.5891769
DSG2,5.611896
WFIKKN2,1.3502836
TNC,3.898181
TP53INP1,3.6809921
CLUL1,2.1238697
CPE,2.6606727
CLEC4A,1.7159005
CHL1,2.5663686
CRHR1,2.282401
CRISP2,2.117335
CTSV,1.7474886
IL13,3.426858
IKZF2,2.9563403
IL5,4.029694
IL7R,1.4964793
IGFBP3,2.7388575
IGFBP2,14.338978
ICAM4,1.3840317
ICOSLG,1.5337394
LEPR,2.3437223
LPL,2.9841251
LRRN1,1.2623053
ITGA11,1.5412322
KITLG,5.557817
KLK6,3.2110431
KIT,4.0918517
FABP9,2.9186332
FGFBP1,8.390459
EGFR,7.100971
FLT3,1.765183
GH1,1.5883671
NPTXR,3.0231948
NTRK3,4.0182843
NME3,5.5993943
OMG,1.8168772
OPTC,2.3004723
OMD,1.5487516
ODAM,1.4228231
OBP2B,3.363289
PAEP,7.9728885
NCAN,2.7557902
NCAM2,1.5292389
NAAA,5.6075225
NCLN,6.0334616
MOG,5.0978165
PODXL2,2.0932908
PLTP,1.8750993
PLA2G1B,5.5746493
AMY2B,1.569695
