Protein,Gradient Importance
CALCOCO1,1.5148411
ACP6,3.4318044
ACOX1,3.2643118
ACE2,2.461067
ACAA1,2.2245903
ABL1,1.2410856
ABHD14B,3.1506627
AARSD1,5.1263924
CCL17,3.8770695
CCL2,2.2132022
CCL13,4.5119214
CCN2,0.9467238
CCL4,3.6917636
CCL27,3.827154
CASP3,1.2207383
CASP2,1.8360857
CASP10,3.5150952
CARHSP1,2.0539532
CAPG,3.6226315
CANT1,7.1103687
CC2D1A,4.593736
BAX,4.574574
BANK1,2.1622634
BAMBI,1.1598961
BAIAP2,6.5269895
BAG6,1.6060002
BACH1,2.73488
BCR,1.298201
BID,2.1788533
BCL2L11,2.976071
ATOX1,1.7815605
ATG4A,2.791882
ASGR1,6.716674
ARTN,2.9981968
ATP6V1F,1.7639492
AXIN1,0.7433474
ATP6AP2,1.5604882
ATP5IF1,2.1475687
C2CD2L,1.2113208
CA5A,2.9940162
CA2,1.8335447
CA13,3.0553305
CA1,0.7370604
C19orf12,3.322366
BLVRB,1.532347
BIRC2,2.534381
BST1,8.273606
BRK1,1.2072208
BIN2,1.1263748
AHCY,0.8764748
AIF1,2.6300561
AK1,2.3511994
AGXT,0.9675366
AGRP,1.545925
AIFM1,1.8761467
ALDH3A1,2.627069
ALDH1A1,0.9182749
AKT1S1,1.2518394
AKR1C4,1.9100231
AKR1B1,4.1352773
ACY1,5.3220325
ADH4,2.3433948
APRT,1.6512234
APP,3.430971
ARHGEF12,1.647052
ARHGAP25,3.4689233
ANGPTL4,5.9243526
ANGPTL2,2.0326583
ANGPT1,1.258381
ANXA3,1.5251812
ANXA5,5.962858
SPRY2,5.29081
SRP14,1.3960048
SRPK2,4.4993987
SSC4D,2.120409
SPARC,1.8261093
SPINT2,3.7281725
SUMF2,2.478491
STX8,4.190072
SULT2A1,8.120805
STX6,4.5888405
STIP1,1.0178481
STAMBP,3.1841958
STAT5B,0.8131598
STK11,0.9715459
STK24,0.80365604
STK4,1.0735574
STX16,1.0053034
STX4,2.0684178
SLC39A5,1.67577
SLC27A4,2.529745
SLIT2,1.7712225
SMAD1,3.1020794
SIRT2,0.80313015
SIT1,7.2406793
SKAP1,3.049919
SKAP2,1.3055873
SLC16A1,3.4421
SNX9,0.8962321
SOD1,0.9010026
SORD,0.8523282
SORT1,3.915138
SOST,1.7451706
SNAP23,3.459589
SNAP29,0.81075597
CD83,1.2587895
CD99L2,6.0882215
CDC27,1.6228943
CD40,2.7271914
CD40LG,1.2441936
CD6,1.1857573
CD69,1.9139946
CDC37,2.6362245
CEACAM3,1.1977142
CDON,9.082572
CEACAM8,1.9531217
CDH15,1.3717302
CDH2,5.166757
CDKN1A,6.790836
CDHR2,4.0975204
CDHR5,2.3566804
TDGF1,6.037111
TBCC,0.85106564
TDRKH,5.426619
TANK,0.7266864
TBCB,2.423814
TARBP2,1.6320833
TBC1D23,0.87303513
TBC1D5,2.9345365
CD244,1.7574525
CD274,1.0705802
CD2AP,0.9203148
CD300C,2.0346527
CD164,3.6885338
SIGLEC9,1.1435665
RASSF2,0.96480376
RARRES2,2.8457766
RBKS,6.8169594
RBP5,1.3954266
RABGAP1L,3.9260118
RILP,2.4487717
RHOC,9.678115
RNASE3,0.8480329
REN,11.3552885
PRTN3,0.8328221
PSIP1,0.93863237
PSME1,1.8195487
PSME2,4.0502505
PRKAB1,2.818709
PRKAR1A,1.9978089
PRKRA,2.437949
PROC,2.480866
PRSS2,7.694161
PSMG3,1.2162461
PTS,2.2983801
PVR,0.8711226
QDPR,1.6068538
PSPN,0.9396572
PSRC1,5.9728
PTK7,3.517572
PTPN1,1.8136263
SERPINB1,5.099763
SERPINB6,4.564071
SERPINE1,2.0875347
SELP,1.0525297
SELPLG,4.3873243
SEMA3F,1.8277924
SHMT1,1.136738
SIAE,0.8946846
SIGLEC5,4.8589087
SETMAR,1.5576633
RWDD1,1.0840819
S100A12,3.2561755
S100A4,0.7811359
RRM2B,2.9641416
RNF41,1.2393222
RP2,3.8982403
SCLY,4.685982
SCRN1,4.2161837
SAMD9L,1.4158078
SCAMP3,1.930748
SCARF1,2.317887
VPS53,2.3158007
VPS37A,1.3188244
VNN2,4.1276755
VSIR,3.8576095
VMO1,5.2160363
VEGFC,1.1244136
VSTM2L,0.9606864
ULBP2,1.2242048
UBAC1,2.2592993
TYMP,0.9217394
VAMP5,1.6283665
USP8,1.8020682
USO1,2.9774942
TXNRD1,0.7156564
DNMBP,2.0454261
DNPH1,2.3761928
DOK2,3.117936
DPP7,1.3352691
DPY30,3.7840583
EBAG9,0.87432754
YES1,0.7338165
XRCC4,1.5477253
XCL1,2.4096901
WWP2,3.0600061
WFDC12,1.9598956
YTHDF3,0.7177722
ZBTB17,1.564786
ZBTB16,4.4549246
TMSB10,0.7241432
THBS2,1.2422116
TGFB1,1.342624
TFPI2,1.8168608
THOP1,6.2811537
TJAP1,0.7740642
TIMP3,2.6832607
TIGAR,1.1907487
TIE1,1.0561717
