id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,lo_ci,up_ci,or,or_lci95,or_uci95,pval,p_fdr
ukb-ppp-APOM-OID20374,ebi-sc206-GCST90302648,Left-hemisphere visual network to left-hemisphere visual network white-matter structural connectivity || id:ebi-sc206-GCST90302648,APOM_O95445_OID20374_v1_Cardiometabolic || id:ukb-ppp-APOM-OID20374,Inverse variance weighted,17,-0.006820379,0.017137529,-0.040409936,0.026769179,0.993202827,0.960395658,1.027130692,0.98006925,0.05
ukb-ppp-APOM-OID20374,ebi-sc206-GCST90302649,Left-hemisphere visual network to left-hemisphere somatomotor network white-matter structural connectivity || id:ebi-sc206-GCST90302649,APOM_O95445_OID20374_v1_Cardiometabolic || id:ukb-ppp-APOM-OID20374,Inverse variance weighted,17,-0.058418358,0.022002611,-0.101543476,-0.015293241,0.943255246,0.9034419,0.984823107,0.408359833,0.05
ukb-ppp-APOM-OID20374,ebi-sc206-GCST90302651,Left-hemisphere visual network to left-hemisphere salience/ventral attention network white-matter structural connectivity || id:ebi-sc206-GCST90302651,APOM_O95445_OID20374_v1_Cardiometabolic || id:ukb-ppp-APOM-OID20374,Inverse variance weighted,17,-0.028857137,0.022120284,-0.072212892,0.014498619,0.971555254,0.930332814,1.014604234,0.964621048,0.05
ukb-ppp-APOM-OID20374,ebi-sc206-GCST90302652,Left-hemisphere visual network to left-hemisphere limbic network white-matter structural connectivity || id:ebi-sc206-GCST90302652,APOM_O95445_OID20374_v1_Cardiometabolic || id:ukb-ppp-APOM-OID20374,Inverse variance weighted,17,-0.013846898,0.021671502,-0.056323042,0.028629246,0.986248529,0.945233736,1.029043002,0.98006925,0.05
ukb-ppp-APOM-OID20374,ebi-sc206-GCST90302653,Left-hemisphere visual network to left-hemisphere control network white-matter structural connectivity || id:ebi-sc206-GCST90302653,APOM_O95445_OID20374_v1_Cardiometabolic || id:ukb-ppp-APOM-OID20374,Inverse variance weighted,17,-0.004319947,0.021029983,-0.045538714,0.036898821,0.995689371,0.955482611,1.037588033,0.98006925,0.05
ukb-ppp-APOM-OID20374,ebi-sc206-GCST90302654,Left-hemisphere visual network to left-hemisphere default mode network white-matter structural connectivity || id:ebi-sc206-GCST90302654,APOM_O95445_OID20374_v1_Cardiometabolic || id:ukb-ppp-APOM-OID20374,Inverse variance weighted,17,-0.026477839,0.021917532,-0.069436202,0.016480525,0.973869626,0.93291965,1.016617078,0.964621048,0.05
ukb-ppp-APOM-OID20374,ebi-sc206-GCST90302656,Left-hemisphere visual network to right-hemisphere somatomotor network white-matter structural connectivity || id:ebi-sc206-GCST90302656,APOM_O95445_OID20374_v1_Cardiometabolic || id:ukb-ppp-APOM-OID20374,Inverse variance weighted,17,-0.070248084,0.021779584,-0.112936068,-0.0275601,0.932162537,0.893207763,0.972816215,0.215943687,0.05
ukb-ppp-APOM-OID20374,ebi-sc206-GCST90302657,Left-hemisphere visual network to right-hemisphere dorsal attention network white-matter structural connectivity || id:ebi-sc206-GCST90302657,APOM_O95445_OID20374_v1_Cardiometabolic || id:ukb-ppp-APOM-OID20374,Inverse variance weighted,17,-0.014254203,0.020756983,-0.05493789,0.026429483,0.985846907,0.946543936,1.026781839,0.98006925,0.05
ukb-ppp-APOM-OID20374,ebi-sc206-GCST90302658,Left-hemisphere visual network to right-hemisphere salience/ventral attention network white-matter structural connectivity || id:ebi-sc206-GCST90302658,APOM_O95445_OID20374_v1_Cardiometabolic || id:ukb-ppp-APOM-OID20374,Inverse variance weighted,17,-0.01694172,0.021460042,-0.059003402,0.025119962,0.983200984,0.942703562,1.025438127,0.965105369,0.05
ukb-ppp-APOM-OID20374,ebi-sc206-GCST90302659,Left-hemisphere visual network to right-hemisphere limbic network white-matter structural connectivity || id:ebi-sc206-GCST90302659,APOM_O95445_OID20374_v1_Cardiometabolic || id:ukb-ppp-APOM-OID20374,Inverse variance weighted,17,-0.010050517,0.020644779,-0.050514284,0.030413251,0.989999821,0.950740348,1.030880458,0.98006925,0.05
ukb-ppp-APOM-OID20374,ebi-sc206-GCST90302660,Left-hemisphere visual network to right-hemisphere control network white-matter structural connectivity || id:ebi-sc206-GCST90302660,APOM_O95445_OID20374_v1_Cardiometabolic || id:ukb-ppp-APOM-OID20374,Inverse variance weighted,17,-0.033392478,0.02111394,-0.0747758,0.007990845,0.967158897,0.92795151,1.008022857,0.901292022,0.05
ukb-ppp-APOM-OID20374,ebi-sc206-GCST90302661,Left-hemisphere visual network to right-hemisphere default mode network white-matter structural connectivity || id:ebi-sc206-GCST90302661,APOM_O95445_OID20374_v1_Cardiometabolic || id:ukb-ppp-APOM-OID20374,Inverse variance weighted,17,0.00123304837948555,0.020632084,-0.039205836,0.041671932,1.001233809,0.961552767,1.042552395,0.996597249,0.05
ukb-ppp-APOM-OID20374,ebi-sc206-GCST90302662,Left-hemisphere visual network to thalamus white-matter structural connectivity || id:ebi-sc206-GCST90302662,APOM_O95445_OID20374_v1_Cardiometabolic || id:ukb-ppp-APOM-OID20374,Inverse variance weighted,17,-0.040690278,0.021435576,-0.082704007,0.00132345,0.960126456,0.920623605,1.001324327,0.781471177,0.05
ukb-ppp-APOM-OID20374,ebi-sc206-GCST90302663,Left-hemisphere visual network to caudate white-matter structural connectivity || id:ebi-sc206-GCST90302663,APOM_O95445_OID20374_v1_Cardiometabolic || id:ukb-ppp-APOM-OID20374,Inverse variance weighted,17,-0.04339607,0.021274355,-0.085093806,-0.001698333,0.957532065,0.918426126,0.998303108,0.723950101,0.05
ukb-ppp-APOM-OID20374,ebi-sc206-GCST90302664,Left-hemisphere visual network to putamen white-matter structural connectivity || id:ebi-sc206-GCST90302664,APOM_O95445_OID20374_v1_Cardiometabolic || id:ukb-ppp-APOM-OID20374,Inverse variance weighted,17,-0.04482423,0.027359536,-0.098448921,0.00880046,0.956165532,0.906241981,1.008839298,0.877237376,0.05
ukb-ppp-APOM-OID20374,ebi-sc206-GCST90302665,Left-hemisphere visual network to pallidum white-matter structural connectivity || id:ebi-sc206-GCST90302665,APOM_O95445_OID20374_v1_Cardiometabolic || id:ukb-ppp-APOM-OID20374,Inverse variance weighted,17,-0.014637681,0.021865613,-0.057494283,0.02821892,0.985468929,0.944127288,1.028620846,0.98006925,0.05
ukb-ppp-APOM-OID20374,ebi-sc206-GCST90302666,Left-hemisphere visual network to hippocampus white-matter structural connectivity || id:ebi-sc206-GCST90302666,APOM_O95445_OID20374_v1_Cardiometabolic || id:ukb-ppp-APOM-OID20374,Inverse variance weighted,17,-0.049141924,0.021678385,-0.091631559,-0.006652289,0.952046002,0.912441269,0.993369788,0.634225501,0.05
ukb-ppp-APOM-OID20374,ebi-sc206-GCST90302667,Left-hemisphere visual network to amygdala white-matter structural connectivity || id:ebi-sc206-GCST90302667,APOM_O95445_OID20374_v1_Cardiometabolic || id:ukb-ppp-APOM-OID20374,Inverse variance weighted,17,-0.031714745,0.020313223,-0.071528663,0.008099172,0.968782893,0.930969593,1.008132059,0.907063308,0.05
ukb-ppp-APOM-OID20374,ebi-sc206-GCST90302669,Left-hemisphere somatomotor network to left-hemisphere somatomotor network white-matter structural connectivity || id:ebi-sc206-GCST90302669,APOM_O95445_OID20374_v1_Cardiometabolic || id:ukb-ppp-APOM-OID20374,Inverse variance weighted,17,0.00997631923729023,0.025669313,-0.040335533,0.060288172,1.010026249,0.960467116,1.062142582,0.98006925,0.05
ukb-ppp-APOM-OID20374,ebi-sc206-GCST90302670,Left-hemisphere somatomotor network to left-hemisphere dorsal attention network white-matter structural connectivity || id:ebi-sc206-GCST90302670,APOM_O95445_OID20374_v1_Cardiometabolic || id:ukb-ppp-APOM-OID20374,Inverse variance weighted,17,-0.004744456,0.025783251,-0.055279627,0.045790716,0.995266782,0.946220522,1.046855298,0.98006925,0.05
ukb-ppp-APOM-OID20374,ebi-sc206-GCST90302671,Left-hemisphere somatomotor network to left-hemisphere salience/ventral attention network white-matter structural connectivity || id:ebi-sc206-GCST90302671,APOM_O95445_OID20374_v1_Cardiometabolic || id:ukb-ppp-APOM-OID20374,Inverse variance weighted,17,-0.001750991,0.023865209,-0.048526801,0.045024818,0.998250541,0.952631808,1.046053821,0.996597249,0.05
ukb-ppp-APOM-OID20374,ebi-sc206-GCST90302672,Left-hemisphere somatomotor network to left-hemisphere limbic network white-matter structural connectivity || id:ebi-sc206-GCST90302672,APOM_O95445_OID20374_v1_Cardiometabolic || id:ukb-ppp-APOM-OID20374,Inverse variance weighted,17,-0.001554352,0.022799165,-0.046240716,0.043132013,0.998446856,0.954812096,1.044075717,0.996597249,0.05
ukb-ppp-APOM-OID20374,ebi-sc206-GCST90302673,Left-hemisphere somatomotor network to left-hemisphere control network white-matter structural connectivity || id:ebi-sc206-GCST90302673,APOM_O95445_OID20374_v1_Cardiometabolic || id:ukb-ppp-APOM-OID20374,Inverse variance weighted,17,-0.01258891,0.020590408,-0.052946111,0.027768291,0.987489999,0.948431121,1.028157423,0.98006925,0.05
ukb-ppp-APOM-OID20374,ebi-sc206-GCST90302674,Left-hemisphere somatomotor network to left-hemisphere default mode network white-matter structural connectivity || id:ebi-sc206-GCST90302674,APOM_O95445_OID20374_v1_Cardiometabolic || id:ukb-ppp-APOM-OID20374,Inverse variance weighted,17,-0.019257093,0.022581642,-0.063517112,0.025002927,0.980927141,0.93845806,1.025318121,0.964621048,0.05
ukb-ppp-APOM-OID20374,ebi-sc206-GCST90302675,Left-hemisphere somatomotor network to right-hemisphere visual network white-matter structural connectivity || id:ebi-sc206-GCST90302675,APOM_O95445_OID20374_v1_Cardiometabolic || id:ukb-ppp-APOM-OID20374,Inverse variance weighted,17,-0.029876276,0.024732143,-0.078351277,0.018598725,0.970565608,0.924639565,1.018772759,0.964621048,0.05
ukb-ppp-APOM-OID20374,ebi-sc206-GCST90302677,Left-hemisphere somatomotor network to right-hemisphere dorsal attention network white-matter structural connectivity || id:ebi-sc206-GCST90302677,APOM_O95445_OID20374_v1_Cardiometabolic || id:ukb-ppp-APOM-OID20374,Inverse variance weighted,17,-0.009097443,0.022939079,-0.054058037,0.035863151,0.990943813,0.947377122,1.036513991,0.98006925,0.05
