exposure,outcome,estimate,std.error,beta_std,Description,Category,Abbreviation,p.value,p_fdr,n
APOM,p20280_i0,-0.212969097,0.0226730801728691,-0.054789662,Glucose-lactate,Glycolysis related metabolites,Glucose-lactate,6.23640674150171e-21,9.83321807148409e-21,29472
CD276,p20280_i0,0.254473959093602,0.0179552058471438,0.0843490387477147,Glucose-lactate,Glycolysis related metabolites,Glucose-lactate,1.90992354643055e-45,3.92402474084822e-45,29382
EGFR,p20280_i0,0.368391091741253,0.0388753779907305,0.05561238262087,Glucose-lactate,Glycolysis related metabolites,Glucose-lactate,2.8260190823965e-21,4.48721531115884e-21,29744
GDF15,p20280_i0,0.447670144539076,0.0137285923215217,0.215556783441843,Glucose-lactate,Glycolysis related metabolites,Glucose-lactate,3.43379140405784e-229,2.13588125867084e-228,29744
GHRL,p20280_i0,-0.114135521,0.00768427380496795,-0.090058912,Glucose-lactate,Glycolysis related metabolites,Glucose-lactate,1.00657009422302e-49,2.15966621482028e-49,29403
LGALS4,p20280_i0,0.346816513106885,0.0115567954145354,0.179795269588626,Glucose-lactate,Glycolysis related metabolites,Glucose-lactate,6.49548808990916e-195,3.41390769376621e-194,29382
APOM,p20281_i0,-0.011479916,0.00138180960593679,-0.048476711,Spectrometer-corrected alanine,Amino acids,Spectrometer-corrected alanine,1.01548638619596e-16,1.5198670415913e-16,29535
CD276,p20281_i0,0.0005618415212863,0.00109475775699863,0.0030648150375878,Spectrometer-corrected alanine,Amino acids,Spectrometer-corrected alanine,0.607807717468989,0.615650286098295,29443
EGFR,p20281_i0,-0.024132998,0.002364069359522,-0.059875803,Spectrometer-corrected alanine,Amino acids,Spectrometer-corrected alanine,1.99828191039266e-24,3.32067435109368e-24,29808
GDF15,p20281_i0,0.00997089407563758,0.000848263852989607,0.0788842384307553,Spectrometer-corrected alanine,Amino acids,Spectrometer-corrected alanine,7.87687004079071e-32,1.41283542001484e-31,29808
GHRL,p20281_i0,-0.008457619,0.000465109997863805,-0.110031963,Spectrometer-corrected alanine,Amino acids,Spectrometer-corrected alanine,1.74338679497599e-73,4.63535783134793e-73,29466
LGALS4,p20281_i0,0.0131456301053842,0.000708758987707623,0.112146275357368,Spectrometer-corrected alanine,Amino acids,Spectrometer-corrected alanine,2.33712555685467e-76,6.46763725529578e-76,29443
APOM,p23435_i0,-0.092366708,0.00386899162446434,-0.131053628,Ratio of triglycerides to phosphoglycerides,Triglycerides&Fatty acid,TG/PLs,8.8308774153967e-125,3.30791982742484e-124,29521
CD276,p23435_i0,-0.009148662,0.00308931567252184,-0.016769398,Ratio of triglycerides to phosphoglycerides,Triglycerides&Fatty acid,TG/PLs,0.00306500880128459,0.003576722835234,29431
EGFR,p23435_i0,-0.048154808,0.00668277106679693,-0.040125427,Ratio of triglycerides to phosphoglycerides,Triglycerides&Fatty acid,TG/PLs,5.90695182276061e-13,8.32622315141724e-13,29794
GDF15,p23435_i0,0.0611340294983825,0.00237488416512987,0.162431156722275,Ratio of triglycerides to phosphoglycerides,Triglycerides&Fatty acid,TG/PLs,1.52355020017185e-144,6.26040627706978e-144,29794
GHRL,p23435_i0,0.00368053363547434,0.00133140064065775,0.0159570467716339,Ratio of triglycerides to phosphoglycerides,Triglycerides&Fatty acid,TG/PLs,0.00570618115825918,0.00657957623350293,29452
LGALS4,p23435_i0,0.0533103209660188,0.00198800646731962,0.15282428214891,Ratio of triglycerides to phosphoglycerides,Triglycerides&Fatty acid,TG/PLs,1.61526476184843e-156,7.15783992505383e-156,29431
