exposure,beta_XM,se_XM,p.value,beta_std,mediator,Category2,Abbreviation,pval,p_fdr_category
APOM,1.62596477532625,0.0379503778145973,0,0.196443350935168,Albumin1,Renal/Liver function,Albumin1,0,0
APOM,0.363633755435083,0.0033099900588793,0,0.428094477787423,Apolipoprotein.A1,Lipoprotein,Apolipoprotein.A1,0,0
APOM,0.250265801217803,0.00324470033905216,0,0.333015845672498,Apolipoprotein.B1,Lipoprotein,Apolipoprotein.B1,0,0
APOM,1.8090112640409,0.0139335611070864,0,0.501022275494733,Cholesterol1,Cholesterol,Cholesterol1,0,0
APOM,0.542672588143479,0.00447788238792958,0,0.454693531571369,HDL.cholesterol1,Cholesterol,HDL.cholesterol1,0,0
APOM,1.08624527909817,0.0114345766651497,0,0.39647010530621,LDL.direct,Lipoprotein,LDL.direct,0,0
APOM,0.306758994077952,0.00375595252789201,0,0.400658196952759,Apolipoprotein A1,Lipoprotein,Apolipoprotein A1,0,0
APOM,0.213368311885082,0.00350158951018883,0,0.33686918814078,Apolipoprotein B,Lipoprotein,Apolipoprotein B,0,0
APOM,0.307197459797964,0.00390740277166754,0,0.383012391105636,Cholesteryl esters in HDL,Cholesterol,HDL-CE,0,0
APOM,0.414717145339506,0.00550041283691691,0,0.404320956039728,Cholesteryl esters in LDL,Cholesterol,LDL-CE,0,0
APOM,0.118552841522679,0.00255296085090993,0,0.263377307401718,Cholesteryl esters in VLDL,Cholesterol,VLDL-CE,0,0
APOM,0.942121377043892,0.0123916217982406,0,0.405589561827467,Clinical LDL cholesterol,Cholesterol,Clinical LDL-C,0,0
APOM,0.0625491142857392,0.00142823545863603,0,0.238478045436006,Docosahexaenoic acid,Triglycerides&Fatty acid,Docosahexaenoic Acid,0,0
APOM,0.0896610785037294,0.00109704882916363,0,0.39033727798227,Free cholesterol in HDL,Cholesterol,HDL-FC,0,0
APOM,0.161251112091392,0.00202599100945553,0,0.419498648521495,Free cholesterol in LDL,Cholesterol,LDL-FC,0,0
APOM,0.39685935569703,0.00495175365413599,0,0.387473308585293,HDL cholesterol,Cholesterol,HDL-C,0,0
APOM,0.575968145217078,0.00743864048723658,0,0.412632016343901,LDL cholesterol,Cholesterol,LDL-C,0,0
APOM,0.825824985127062,0.0116396431686529,0,0.380643703657669,Linoleic acid,Triglycerides&Fatty acid,Linoleic Acid,0,0
APOM,0.888555273199498,0.0113365947225422,0,0.411229097749002,Omega-6 fatty acids,Triglycerides&Fatty acid,Omega-6 FA,0,0
APOM,0.52184513367208,0.00579387000824891,0,0.439640720934744,Phosphatidylcholines,Phospholipids,Phosphatidylcholines,0,0
APOM,0.551468160978261,0.006221029811196,0,0.438054803857551,Phosphoglycerides,Phospholipids,Phosphoglycerides,0,0
APOM,0.357074681486599,0.00495687796044134,0,0.356877322490529,Phospholipids in HDL,Phospholipids,HDL-PLs,0,0
APOM,0.176281581515494,0.00240669437308555,0,0.394744970037516,Phospholipids in LDL,Phospholipids,LDL-PLs,0,0
APOM,1.02773970813179,0.0133183344717687,0,0.403411440585226,Polyunsaturated fatty acids,Triglycerides&Fatty acid,Polyunsaturated FA,0,0
APOM,0.472103811246684,0.00715070811981521,0,0.358854477218292,"Remnant cholesterol (non-HDL, non-LDL -cholesterol)",Cholesterol,Remnant C,0,0
