exposure,beta_XM,se_XM,p.value,beta_std,mediator,Category2,Abbreviation,pval,p_fdr_category
EGFR,3.94801987075757,0.332323183683429,1.66352707113854e-32,0.0528817783295422,Alanine.aminotransferase,Renal/Liver function,ALT,2.92845841374021e-32,2.92131583224329e-32
EGFR,3.54068095409401,0.0642598601845166,0,0.251235125110861,Albumin1,Renal/Liver function,Albumin1,0,0
EGFR,0.230967471088994,0.00578150485152222,0,0.180856507481842,Apolipoprotein.B1,Lipoprotein,Apolipoprotein.B1,0,0
EGFR,0.0974446224295619,0.00233139858270676,0,0.196112813168714,Calcium,Glycolysis related metabolites,Calcium,0,0
EGFR,1.49900062769807,0.0268409513818899,0,0.24369365755028,Cholesterol1,Cholesterol,Cholesterol1,0,0
EGFR,-0.166185967,0.00418963960435389,0,-0.166427559,Cystatin.C,Inflammation,Cystatin.C,0,0
EGFR,0.976389765086974,0.0208576633266458,0,0.209267883712888,LDL.direct,Lipoprotein,LDL.direct,0,0
EGFR,0.531269939717853,0.0136315982526974,0,0.223560820561405,LDL cholesterol,Cholesterol,LDL-C,0,0
EGFR,1.00911192808442,0.0242975429669577,0,0.232763360410029,Polyunsaturated fatty acids,Triglycerides&Fatty acid,Polyunsaturated FA,0,0
EGFR,0.087727935472908,0.00210252733457592,0,0.224920173298367,Sphingomyelins,Phospholipids,Sphingomyelins,0,0
EGFR,1.21353450837925,0.0282841675177861,0,0.237838127132808,Total cholesterol,Cholesterol,TC,0,0
EGFR,0.478982092910539,0.0120036451119248,0,0.216054593841771,Total cholines,Phospholipids,Total Cholines,0,0
EGFR,0.88491368927254,0.0202786674596401,0,0.240860459348918,Total esterified cholesterol,Cholesterol,Total CE,0,0
EGFR,0.328622377425266,0.00817744959950243,0,0.225541234784974,Total free cholesterol,Cholesterol,Total FC,0,0
EGFR,0.566882619443709,0.0139295025880637,0,0.22259787447154,Total phospholipids in lipoprotein particles,Phospholipids,Lipoprotein Particles-Total PLs,0,0
EGFR,3.54068095409401,0.0642598601845166,0,0.251235125110861,Albumin1,Renal/Liver function,Albumin1,0,0
EGFR,0.230967471088994,0.00578150485152222,0,0.180856507481842,Apolipoprotein.B1,Lipoprotein,Apolipoprotein.B1,0,0
EGFR,0.0974446224295619,0.00233139858270676,0,0.196112813168714,Calcium,Glycolysis related metabolites,Calcium,0,0
EGFR,1.49900062769807,0.0268409513818899,0,0.24369365755028,Cholesterol1,Cholesterol,Cholesterol1,0,0
EGFR,-0.166185967,0.00418963960435389,0,-0.166427559,Cystatin.C,Inflammation,Cystatin.C,0,0
EGFR,0.976389765086974,0.0208576633266458,0,0.209267883712888,LDL.direct,Lipoprotein,LDL.direct,0,0
