exposure,beta_XM,se_XM,p.value,beta_std,mediator,Category2,Abbreviation,pval,p_fdr_category
GDF15,3.60982719199038,0.120209624206798,2.35915285638296e-196,0.151998166132046,Alanine.aminotransferase,Renal/Liver function,ALT,1.17144141834189e-195,8.49295028297867e-196
GDF15,1.70215674436922,0.03846785378217,0,0.227053955663171,C.reactive.protein,Inflammation,C.reactive.protein,0,0
GDF15,8.20269530728042,0.137793345173357,0,0.26530266988075,Creatinine1,Renal/Liver function,Creatinine1,0,0
GDF15,0.158435238057436,0.00137677631424766,0,0.498998830055359,Cystatin.C,Inflammation,Cystatin.C,0,0
GDF15,16.0619763923216,0.360558568872034,0,0.225718731368894,Gamma.glutamyltransferase,Renal/Liver function,GGT,0,0
GDF15,3.6428078332036,0.0587709402144547,0,0.306572226798397,Glycated.haemoglobin..HbA1c.,Glycolysis related metabolites,Glycated.haemoglobin..HbA1c.,0,0
GDF15,0.628521597529915,0.0122379226683326,0,0.259224715265744,Neutrophill.count,Inflammation,Neutrophill.count,0,0
GDF15,25.2047330610913,0.609028024738479,0,0.183455405320395,Urate,Inflammation,Urate,0,0
GDF15,0.572803240616624,0.012802092287591,0,0.221302630936881,Urea,Renal/Liver function,Urea,0,0
GDF15,0.846318856287324,0.0177570722005185,0,0.241844651881923,White.blood.cell..leukocyte..count,Inflammation,WBC,0,0
GDF15,0.00791788560006531,0.000156765649240979,0,0.297454177199774,Creatinine,Renal/Liver function,Creatinine,0,0
GDF15,1.20419489179321,0.0279393333685158,0,0.271318960768962,Ratio of monounsaturated fatty acids to total fatty acids,Triglycerides&Fatty acid,MUFA/Total FA,0,0
GDF15,-0.144922795,0.00359939317031366,0,-0.255014331,Ratio of polyunsaturated fatty acids to monounsaturated fatty acids,Triglycerides&Fatty acid,PUFA/MUFA,0,0
GDF15,1.70215674436922,0.03846785378217,0,0.227053955663171,C.reactive.protein,Inflammation,C.reactive.protein,0,0
GDF15,8.20269530728042,0.137793345173357,0,0.26530266988075,Creatinine1,Renal/Liver function,Creatinine1,0,0
GDF15,0.158435238057436,0.00137677631424766,0,0.498998830055359,Cystatin.C,Inflammation,Cystatin.C,0,0
GDF15,16.0619763923216,0.360558568872034,0,0.225718731368894,Gamma.glutamyltransferase,Renal/Liver function,GGT,0,0
GDF15,3.6428078332036,0.0587709402144547,0,0.306572226798397,Glycated.haemoglobin..HbA1c.,Glycolysis related metabolites,Glycated.haemoglobin..HbA1c.,0,0
GDF15,0.628521597529915,0.0122379226683326,0,0.259224715265744,Neutrophill.count,Inflammation,Neutrophill.count,0,0
GDF15,25.2047330610913,0.609028024738479,0,0.183455405320395,Urate,Inflammation,Urate,0,0
GDF15,0.572803240616624,0.012802092287591,0,0.221302630936881,Urea,Renal/Liver function,Urea,0,0
GDF15,0.846318856287324,0.0177570722005185,0,0.241844651881923,White.blood.cell..leukocyte..count,Inflammation,WBC,0,0
GDF15,0.00791788560006531,0.000156765649240979,0,0.297454177199774,Creatinine,Renal/Liver function,Creatinine,0,0
GDF15,1.20419489179321,0.0279393333685158,0,0.271318960768962,Ratio of monounsaturated fatty acids to total fatty acids,Triglycerides&Fatty acid,MUFA/Total FA,0,0
GDF15,-0.144922795,0.00359939317031366,0,-0.255014331,Ratio of polyunsaturated fatty acids to monounsaturated fatty acids,Triglycerides&Fatty acid,PUFA/MUFA,0,0
GDF15,0.00708799629016564,0.00203317364676794,0.000490688483240055,0.0234639477585774,Phospholipids in VLDL,Phospholipids,VLDL-PLs,0.000580124315160656,0.000512022765120057
GDF15,0.00708799629016564,0.00203317364676794,0.000490688483240055,0.0234639477585774,Phospholipids in VLDL,Phospholipids,VLDL-PLs,0.000580124315160656,0.000512022765120057
GDF15,0.0619368736710973,0.0228104612800731,0.00662416218253584,0.0138947553688397,Monocyte.percentage,Inflammation,Monocyte.percentage,0.00752270784136562,0.00867993665297799
GDF15,0.0619368736710973,0.0228104612800731,0.00662416218253584,0.0138947553688397,Monocyte.percentage,Inflammation,Monocyte.percentage,0.00752270784136562,0.00867993665297799
GDF15,0.0212569483356746,0.00957590444098026,0.0264342606033138,0.0115794249774246,Mean.platelet..thrombocyte..volume,Inflammation,Mean.platelet..thrombocyte..volume,0.0291465047999784,0.0324032871911588
GDF15,0.0212569483356746,0.00957590444098026,0.0264342606033138,0.0115794249774246,Mean.platelet..thrombocyte..volume,Inflammation,Mean.platelet..thrombocyte..volume,0.0291465047999784,0.0324032871911588
GDF15,-1.182007596,0.038833888994914,2.08392756888872e-200,-0.197162575,Ratio of omega-6 fatty acids to total fatty acids,Triglycerides&Fatty acid,Omega-6 FA/Total FA,1.07944449611502e-199,1.15417526892299e-199
GDF15,-1.182007596,0.038833888994914,2.08392756888872e-200,-0.197162575,Ratio of omega-6 fatty acids to total fatty acids,Triglycerides&Fatty acid,Omega-6 FA/Total FA,1.07944449611502e-199,1.15417526892299e-199
GDF15,-0.083585535,0.00439645608865128,4.05411588588205e-80,-0.120221367,Total cholines,Phospholipids,Total Cholines,1.08916546187876e-79,6.71026077663235e-80
GDF15,-0.083585535,0.00439645608865128,4.05411588588205e-80,-0.120221367,Total cholines,Phospholipids,Total Cholines,1.08916546187876e-79,6.71026077663235e-80
GDF15,-0.044222253,0.00158892742044215,2.58411215925173e-168,-0.18540628,Phospholipids in LDL,Phospholipids,LDL-PLs,1.1141082363241e-167,6.20186918220414e-168
GDF15,-0.044222253,0.00158892742044215,2.58411215925173e-168,-0.18540628,Phospholipids in LDL,Phospholipids,LDL-PLs,1.1141082363241e-167,6.20186918220414e-168
GDF15,0.0125577683127574,0.00145859460196889,7.56989531053347e-18,0.0460978114742261,Phosphate,Glycolysis related metabolites,Phosphate,1.13548429658002e-17,1.29769633894859e-17
GDF15,0.0125577683127574,0.00145859460196889,7.56989531053347e-18,0.0460978114742261,Phosphate,Glycolysis related metabolites,Phosphate,1.13548429658002e-17,1.29769633894859e-17
GDF15,-0.170608437,0.00891734698153844,4.1865966482805e-81,-0.12548219,Polyunsaturated fatty acids,Triglycerides&Fatty acid,Polyunsaturated FA,1.13749041009885e-80,1.07655342384356e-80
GDF15,-0.170608437,0.00891734698153844,4.1865966482805e-81,-0.12548219,Polyunsaturated fatty acids,Triglycerides&Fatty acid,Polyunsaturated FA,1.13749041009885e-80,1.07655342384356e-80
GDF15,3.60982719199038,0.120209624206798,2.35915285638296e-196,0.151998166132046,Alanine.aminotransferase,Renal/Liver function,ALT,1.17144141834189e-195,8.49295028297867e-196
GDF15,-1.485514981,0.0399734853828005,1.59256492971726e-295,-0.238229211,Ratio of polyunsaturated fatty acids to total fatty acids,Triglycerides&Fatty acid,PUFA/Total FA,1.23295349397465e-294,1.63806678485203e-294
GDF15,-1.485514981,0.0399734853828005,1.59256492971726e-295,-0.238229211,Ratio of polyunsaturated fatty acids to total fatty acids,Triglycerides&Fatty acid,PUFA/Total FA,1.23295349397465e-294,1.63806678485203e-294
GDF15,3.38686373490432,0.094891551426973,1.71888429944635e-275,0.183258279539322,Aspartate.aminotransferase,Renal/Liver function,AST,1.23759669560137e-274,8.83997639715268e-275
GDF15,3.38686373490432,0.094891551426973,1.71888429944635e-275,0.183258279539322,Aspartate.aminotransferase,Renal/Liver function,AST,1.23759669560137e-274,8.83997639715268e-275
GDF15,-2.725822446,0.187187972172921,6.22850524180232e-48,-0.076761928,Vitamin.D,Endocrine,Vitamin.D,1.27040333543843e-47,2.13548751147508e-47
GDF15,-2.725822446,0.187187972172921,6.22850524180232e-48,-0.076761928,Vitamin.D,Endocrine,Vitamin.D,1.27040333543843e-47,2.13548751147508e-47
GDF15,0.0596019289548204,0.00177158759482121,2.10451848848455e-245,0.170194317987168,Monocyte.count,Inflammation,Monocyte.count,1.28411297602447e-244,2.39915107687238e-244
GDF15,0.0596019289548204,0.00177158759482121,2.10451848848455e-245,0.170194317987168,Monocyte.count,Inflammation,Monocyte.count,1.28411297602447e-244,2.39915107687238e-244
GDF15,0.00240625188607405,0.000322732300181907,9.17035995783178e-14,0.0505739538253763,Acetate,Glycolysis related metabolites,Acetate,1.29210551264949e-13,1.37555399367477e-13
GDF15,0.00240625188607405,0.000322732300181907,9.17035995783178e-14,0.0505739538253763,Acetate,Glycolysis related metabolites,Acetate,1.29210551264949e-13,1.37555399367477e-13
GDF15,0.00997089407563758,0.000848263852989607,7.87687004079071e-32,0.0788842384307553,Spectrometer-corrected alanine,Amino acids,Spectrometer-corrected alanine,1.37654039547799e-31,2.36306101223721e-31
GDF15,0.00997089407563758,0.000848263852989607,7.87687004079071e-32,0.0788842384307553,Spectrometer-corrected alanine,Amino acids,Spectrometer-corrected alanine,1.37654039547799e-31,2.36306101223721e-31
GDF15,-0.116723571,0.00658371748604509,5.72473913286528e-70,-0.108560103,Total lipids in HDL,Lipoprotein,HDL-TL,1.38315844820906e-69,9.21543372607582e-70
GDF15,-0.116723571,0.00658371748604509,5.72473913286528e-70,-0.108560103,Total lipids in HDL,Lipoprotein,HDL-TL,1.38315844820906e-69,9.21543372607582e-70
GDF15,0.00266370049173196,0.000135883955059961,5.03962523584833e-85,0.131846488306234,Acetoacetate,Glycolysis related metabolites,Acetoacetate,1.3849351793171e-84,2.64580324882038e-84
GDF15,0.00266370049173196,0.000135883955059961,5.03962523584833e-85,0.131846488306234,Acetoacetate,Glycolysis related metabolites,Acetoacetate,1.3849351793171e-84,2.64580324882038e-84
GDF15,-0.046588918,0.00226906680824745,4.90414702803866e-93,-0.13773774,Apolipoprotein B,Lipoprotein,Apolipoprotein B,1.43536010576741e-92,9.24782011001576e-93
GDF15,-0.046588918,0.00226906680824745,4.90414702803866e-93,-0.13773774,Apolipoprotein B,Lipoprotein,Apolipoprotein B,1.43536010576741e-92,9.24782011001576e-93
GDF15,-0.068122031,0.00261320801064236,3.84114584849521e-148,-0.159002977,Cholesteryl esters in HDL,Cholesterol,HDL-CE,1.49493243833327e-147,6.8736294130967e-148
GDF15,-0.068122031,0.00261320801064236,3.84114584849521e-148,-0.159002977,Cholesteryl esters in HDL,Cholesterol,HDL-CE,1.49493243833327e-147,6.8736294130967e-148
