exposure,beta_XM,se_XM,p.value,beta_std,mediator,Category2,Abbreviation,pval,p_fdr_category
LGALS4,4.80244051658345,0.0983987373068165,0,0.219480618743345,Alanine.aminotransferase,Renal/Liver function,ALT,0,0
LGALS4,8.57476298158275,0.188522733753584,0,0.207320213252632,Alkaline.phosphatase,Renal/Liver function,ALP,0,0
LGALS4,3.76226137083101,0.0782056174202055,0,0.220365078208809,Aspartate.aminotransferase,Renal/Liver function,AST,0,0
LGALS4,0.0885593400048636,0.0011946061079614,0,0.308648317484073,Cystatin.C,Inflammation,Cystatin.C,0,0
LGALS4,2.66498448763423,0.0489828045724266,0,0.243979650087177,Glycated.haemoglobin..HbA1c.,Glycolysis related metabolites,Glycated.haemoglobin..HbA1c.,0,0
LGALS4,22.724539983259,0.502307706169916,0,0.180075175551581,Urate,Inflammation,Urate,0,0
LGALS4,0.938726424048732,0.02348740495282,0,0.228293630524402,Ratio of monounsaturated fatty acids to total fatty acids,Triglycerides&Fatty acid,MUFA/Total FA,0,0
LGALS4,4.80244051658345,0.0983987373068165,0,0.219480618743345,Alanine.aminotransferase,Renal/Liver function,ALT,0,0
LGALS4,8.57476298158275,0.188522733753584,0,0.207320213252632,Alkaline.phosphatase,Renal/Liver function,ALP,0,0
LGALS4,3.76226137083101,0.0782056174202055,0,0.220365078208809,Aspartate.aminotransferase,Renal/Liver function,AST,0,0
LGALS4,0.0885593400048636,0.0011946061079614,0,0.308648317484073,Cystatin.C,Inflammation,Cystatin.C,0,0
LGALS4,2.66498448763423,0.0489828045724266,0,0.243979650087177,Glycated.haemoglobin..HbA1c.,Glycolysis related metabolites,Glycated.haemoglobin..HbA1c.,0,0
LGALS4,22.724539983259,0.502307706169916,0,0.180075175551581,Urate,Inflammation,Urate,0,0
LGALS4,0.938726424048732,0.02348740495282,0,0.228293630524402,Ratio of monounsaturated fatty acids to total fatty acids,Triglycerides&Fatty acid,MUFA/Total FA,0,0
LGALS4,-0.000398294,0.000107005413762957,0.000197876434298399,-0.022709084,Histidine,Amino acids,Histidine,0.000236270369311521,0.000241848975253598
LGALS4,-0.000398294,0.000107005413762957,0.000197876434298399,-0.022709084,Histidine,Amino acids,Histidine,0.000236270369311521,0.000241848975253598
LGALS4,1.52169821403672,0.40905385867894,0.000199467038272816,0.0197128138164438,Lipoprotein.A,Lipoprotein,Lipoprotein.A,0.000237775277411304,0.000215816795508292
LGALS4,1.52169821403672,0.40905385867894,0.000199467038272816,0.0197128138164438,Lipoprotein.A,Lipoprotein,Lipoprotein.A,0.000237775277411304,0.000215816795508292
LGALS4,0.000191857286967876,5.24618628347348e-05,0.000255548528293027,0.0223961909868249,Acetone,Glycolysis related metabolites,Acetone,0.000303622013813497,0.000320389199650959
LGALS4,0.000191857286967876,5.24618628347348e-05,0.000255548528293027,0.0223961909868249,Acetone,Glycolysis related metabolites,Acetone,0.000303622013813497,0.000320389199650959
LGALS4,0.00507768933946617,0.00170549869292789,0.00291087328841833,0.018113642476561,Phospholipids in VLDL,Phospholipids,VLDL-PLs,0.00338582999622164,0.00297280676264
LGALS4,0.00507768933946617,0.00170549869292789,0.00291087328841833,0.018113642476561,Phospholipids in VLDL,Phospholipids,VLDL-PLs,0.00338582999622164,0.00297280676264
LGALS4,0.0110397292441655,0.00378767147035559,0.00356248654701416,0.0135678973213186,Platelet.distribution.width,Inflammation,Platelet.distribution.width,0.00411056140040095,0.00489305381156161
LGALS4,0.0110397292441655,0.00378767147035559,0.00356248654701416,0.0135678973213186,Platelet.distribution.width,Inflammation,Platelet.distribution.width,0.00411056140040095,0.00489305381156161
LGALS4,0.000765680804852787,0.000274724701004449,0.00532188272571282,0.0171027047582621,Acetate,Glycolysis related metabolites,Acetate,0.0061112528907707,0.00629631195718136
LGALS4,0.000765680804852787,0.000274724701004449,0.00532188272571282,0.0171027047582621,Acetate,Glycolysis related metabolites,Acetate,0.0061112528907707,0.00629631195718136
LGALS4,-0.005315299,0.00203927005299045,0.00915266699481072,-0.015429821,Omega-3 fatty acids,Triglycerides&Fatty acid,Omega-3 FA,0.0103615098054461,0.0102169305988585
LGALS4,-0.005315299,0.00203927005299045,0.00915266699481072,-0.015429821,Omega-3 fatty acids,Triglycerides&Fatty acid,Omega-3 FA,0.0103615098054461,0.0102169305988585
LGALS4,-20.6808643,8.00323514723428,0.00978210992882173,-0.029218582,Oestradiol,Endocrine,Oestradiol,0.011024625299847,0.0111795542043677
LGALS4,-20.6808643,8.00323514723428,0.00978210992882173,-0.029218582,Oestradiol,Endocrine,Oestradiol,0.011024625299847,0.0111795542043677
LGALS4,-0.002598107,0.00101362478385837,0.0103766288035392,-0.015632739,Free cholesterol in VLDL,Cholesterol,VLDL-FC,0.0116554956919629,0.0108001646730714
LGALS4,-0.002598107,0.00101362478385837,0.0103766288035392,-0.015632739,Free cholesterol in VLDL,Cholesterol,VLDL-FC,0.0116554956919629,0.0108001646730714
LGALS4,0.0456254663849887,0.0188781646654619,0.0156595628408498,0.011135808477824,Monocyte.percentage,Inflammation,Monocyte.percentage,0.0174533827328357,0.0198354462650765
LGALS4,0.0456254663849887,0.0188781646654619,0.0156595628408498,0.011135808477824,Monocyte.percentage,Inflammation,Monocyte.percentage,0.0174533827328357,0.0198354462650765
LGALS4,1.02406614761515,0.474714044691419,0.0310413816242383,0.033687383482441,Rheumatoid.factor,Inflammation,Rheumatoid.factor,0.0339662534490145,0.0368616406787829
LGALS4,1.02406614761515,0.474714044691419,0.0310413816242383,0.033687383482441,Rheumatoid.factor,Inflammation,Rheumatoid.factor,0.0339662534490145,0.0368616406787829
LGALS4,0.00270185356935396,0.000606671540044906,8.47705281516194e-06,0.0275140674361143,3-Hydroxybutyrate,Glycolysis related metabolites,3-Hydroxybutyrate,1.04023838013907e-05,1.07889763102061e-05
LGALS4,0.00270185356935396,0.000606671540044906,8.47705281516194e-06,0.0275140674361143,3-Hydroxybutyrate,Glycolysis related metabolites,3-Hydroxybutyrate,1.04023838013907e-05,1.07889763102061e-05
LGALS4,-0.26242744,0.00864317592879534,2.07348160879447e-199,-0.176756069,Total cholesterol,Cholesterol,TC,1.05879911938441e-198,5.15841766090332e-199
LGALS4,-0.26242744,0.00864317592879534,2.07348160879447e-199,-0.176756069,Total cholesterol,Cholesterol,TC,1.05879911938441e-198,5.15841766090332e-199
LGALS4,-0.033616431,0.00133589126914494,2.88739654578452e-138,-0.151863616,Phospholipids in LDL,Phospholipids,LDL-PLs,1.0827737046692e-137,5.77479309156905e-138
LGALS4,-0.033616431,0.00133589126914494,2.88739654578452e-138,-0.151863616,Phospholipids in LDL,Phospholipids,LDL-PLs,1.0827737046692e-137,5.77479309156905e-138
LGALS4,-0.103285014,0.00750532646836645,5.90018289963836e-43,-0.081853115,Polyunsaturated fatty acids,Triglycerides&Fatty acid,Polyunsaturated FA,1.12384436183588e-42,1.04892140438015e-42
LGALS4,-0.103285014,0.00750532646836645,5.90018289963836e-43,-0.081853115,Polyunsaturated fatty acids,Triglycerides&Fatty acid,Polyunsaturated FA,1.12384436183588e-42,1.04892140438015e-42
LGALS4,-0.016913973,0.000644070808788803,2.90550969768668e-150,-0.149036333,Sphingomyelins,Phospholipids,Sphingomyelins,1.14315135646689e-149,6.06367241256352e-150
LGALS4,-0.016913973,0.000644070808788803,2.90550969768668e-150,-0.149036333,Sphingomyelins,Phospholipids,Sphingomyelins,1.14315135646689e-149,6.06367241256352e-150
LGALS4,-0.086918883,0.0141751899547416,8.80175763595347e-10,-0.036372062,Ratio of omega-3 fatty acids to total fatty acids,Triglycerides&Fatty acid,Omega-3 FA/Total FA,1.16923717673183e-09,1.09263198239422e-09
LGALS4,-0.086918883,0.0141751899547416,8.80175763595347e-10,-0.036372062,Ratio of omega-3 fatty acids to total fatty acids,Triglycerides&Fatty acid,Omega-3 FA/Total FA,1.16923717673183e-09,1.09263198239422e-09
LGALS4,0.00212138664066353,0.000369394130823712,9.36207021758988e-09,0.0268931660579047,Basophill.count,Inflammation,Basophill.count,1.21235441666631e-08,1.77879334134208e-08
LGALS4,0.00212138664066353,0.000369394130823712,9.36207021758988e-09,0.0268931660579047,Basophill.count,Inflammation,Basophill.count,1.21235441666631e-08,1.77879334134208e-08
LGALS4,0.00329738038622432,0.000343186322208584,7.71768627147528e-22,0.0432127752637575,Platelet.crit,Inflammation,Platelet.crit,1.21326072390004e-21,2.04608426732135e-21
LGALS4,0.00329738038622432,0.000343186322208584,7.71768627147528e-22,0.0432127752637575,Platelet.crit,Inflammation,Platelet.crit,1.21326072390004e-21,2.04608426732135e-21
LGALS4,0.0032201726990622,0.000299792634957904,7.30426514209155e-27,0.0657857434837237,Pyruvate,Glycolysis related metabolites,Pyruvate,1.21737752368192e-26,1.49648359008705e-26
LGALS4,0.0032201726990622,0.000299792634957904,7.30426514209155e-27,0.0657857434837237,Pyruvate,Glycolysis related metabolites,Pyruvate,1.21737752368192e-26,1.49648359008705e-26
LGALS4,-0.135208336,0.00570111981661546,3.53371561641316e-123,-0.143141941,Total lipids in LDL,Lipoprotein,LDL-TL,1.23508506981431e-122,8.63797150678772e-123
LGALS4,-0.135208336,0.00570111981661546,3.53371561641316e-123,-0.143141941,Total lipids in LDL,Lipoprotein,LDL-TL,1.23508506981431e-122,8.63797150678772e-123
LGALS4,0.000931951995840911,0.000124909579571036,8.82316985852245e-14,0.0447821872937186,Citrate,Glycolysis related metabolites,Citrate,1.2456239800267e-13,1.34753866930161e-13
LGALS4,0.000931951995840911,0.000124909579571036,8.82316985852245e-14,0.0447821872937186,Citrate,Glycolysis related metabolites,Citrate,1.2456239800267e-13,1.34753866930161e-13
LGALS4,0.152179191121408,0.00771424673581578,4.5617128274302e-86,0.119164776603635,Monounsaturated fatty acids,Triglycerides&Fatty acid,Monounsaturated FA,1.26812094044392e-85,1.21645675398139e-85
LGALS4,0.152179191121408,0.00771424673581578,4.5617128274302e-86,0.119164776603635,Monounsaturated fatty acids,Triglycerides&Fatty acid,Monounsaturated FA,1.26812094044392e-85,1.21645675398139e-85
LGALS4,-0.042365959,0.00190106129701745,4.10286172589001e-109,-0.134957295,Apolipoprotein B,Lipoprotein,Apolipoprotein B,1.34275474665491e-108,9.02629579695803e-109
LGALS4,-0.042365959,0.00190106129701745,4.10286172589001e-109,-0.134957295,Apolipoprotein B,Lipoprotein,Apolipoprotein B,1.34275474665491e-108,9.02629579695803e-109
LGALS4,-0.04550185,0.00220352658663802,4.58613451858913e-94,-0.11436376,Cholesteryl esters in HDL,Cholesterol,HDL-CE,1.35328559564925e-93,6.32142866075799e-94
LGALS4,-0.04550185,0.00220352658663802,4.58613451858913e-94,-0.11436376,Cholesteryl esters in HDL,Cholesterol,HDL-CE,1.35328559564925e-93,6.32142866075799e-94
LGALS4,-0.023443803,0.0021429779709056,8.41119492371203e-28,-0.061738721,Apolipoprotein A1,Lipoprotein,Apolipoprotein A1,1.41496737034408e-27,1.08850757836273e-27
LGALS4,-0.023443803,0.0021429779709056,8.41119492371203e-28,-0.061738721,Apolipoprotein A1,Lipoprotein,Apolipoprotein A1,1.41496737034408e-27,1.08850757836273e-27
LGALS4,0.103786990107278,0.00536028238841722,5.29053664838891e-83,0.115781126237979,Total triglycerides,Triglycerides&Fatty acid,TG,1.44835984290495e-82,1.38515868612364e-82
LGALS4,0.103786990107278,0.00536028238841722,5.29053664838891e-83,0.115781126237979,Total triglycerides,Triglycerides&Fatty acid,TG,1.44835984290495e-82,1.38515868612364e-82
LGALS4,0.327882476511277,0.0149564029252583,5.04482193332608e-106,0.101931941135587,White.blood.cell..leukocyte..count,Inflammation,WBC,1.60011973215629e-105,3.59443562749483e-105
LGALS4,0.327882476511277,0.0149564029252583,5.04482193332608e-106,0.101931941135587,White.blood.cell..leukocyte..count,Inflammation,WBC,1.60011973215629e-105,3.59443562749483e-105
LGALS4,-1.171972945,0.0305374725775377,1.78577891843532e-314,-0.221788415,Ratio of linoleic acid to total fatty acids,Triglycerides&Fatty acid,LA/Total FA,1.62754534338033e-313,2.33774694776538e-313
LGALS4,-1.171972945,0.0305374725775377,1.78577891843532e-314,-0.221788415,Ratio of linoleic acid to total fatty acids,Triglycerides&Fatty acid,LA/Total FA,1.62754534338033e-313,2.33774694776538e-313
LGALS4,-0.03452165,0.0036033148184704,1.03871611865385e-21,-0.055377794,Phosphoglycerides,Phospholipids,Phosphoglycerides,1.62935861749623e-21,1.24645934238462e-21
LGALS4,-0.03452165,0.0036033148184704,1.03871611865385e-21,-0.055377794,Phosphoglycerides,Phospholipids,Phosphoglycerides,1.62935861749623e-21,1.24645934238462e-21
LGALS4,0.0623128919704649,0.00806679388139597,1.15749371904602e-14,0.0467340584954168,Total lipids in VLDL,Lipoprotein,VLDL-TL,1.66346402737153e-14,1.4147145455007e-14
LGALS4,0.0623128919704649,0.00806679388139597,1.15749371904602e-14,0.0467340584954168,Total lipids in VLDL,Lipoprotein,VLDL-TL,1.66346402737153e-14,1.4147145455007e-14
LGALS4,-0.109599487,0.00416162117076481,4.23529729379267e-151,-0.158418217,LDL cholesterol,Cholesterol,LDL-C,1.68475914449211e-150,8.00000599938616e-151
LGALS4,-0.109599487,0.00416162117076481,4.23529729379267e-151,-0.158418217,LDL cholesterol,Cholesterol,LDL-C,1.68475914449211e-150,8.00000599938616e-151
LGALS4,0.0166701008965761,0.00120002703368448,8.80415853446574e-44,0.0667932344047732,Phosphate,Glycolysis related metabolites,Phosphate,1.70862375871033e-43,2.31109161529726e-43
LGALS4,0.0166701008965761,0.00120002703368448,8.80415853446574e-44,0.0667932344047732,Phosphate,Glycolysis related metabolites,Phosphate,1.70862375871033e-43,2.31109161529726e-43
LGALS4,0.458432143597588,0.0315300179445364,8.74531928052954e-48,0.0712145359787165,Total.protein,Renal/Liver function,Total.protein,1.7787090062094e-47,1.7990371091375e-47
LGALS4,0.458432143597588,0.0315300179445364,8.74531928052954e-48,0.0712145359787165,Total.protein,Renal/Liver function,Total.protein,1.7787090062094e-47,1.7990371091375e-47
LGALS4,0.0146515132486348,0.00100784776766108,8.80126106368182e-48,0.068026970547086,Eosinophill.count,Inflammation,Eosinophill.count,1.78504449742279e-47,3.13544925393665e-47
LGALS4,0.0146515132486348,0.00100784776766108,8.80126106368182e-48,0.068026970547086,Eosinophill.count,Inflammation,Eosinophill.count,1.78504449742279e-47,3.13544925393665e-47
LGALS4,0.0706511824045318,0.00826081007330581,1.23749001553493e-17,0.0401961779183276,Lymphocyte.count,Inflammation,Lymphocyte.count,1.84853280328869e-17,3.13497470602182e-17
LGALS4,0.0706511824045318,0.00826081007330581,1.23749001553493e-17,0.0401961779183276,Lymphocyte.count,Inflammation,Lymphocyte.count,1.84853280328869e-17,3.13497470602182e-17
LGALS4,0.00724906142826645,0.000799242566253694,1.26330773916478e-19,0.0540150591414192,Total concentration of branched-chain amino acids (leucine + isoleucine + valine),Amino acids,Total Branched-Chain Amino Acids,1.94771214603563e-19,2.97779681374555e-19
LGALS4,0.00724906142826645,0.000799242566253694,1.26330773916478e-19,0.0540150591414192,Total concentration of branched-chain amino acids (leucine + isoleucine + valine),Amino acids,Total Branched-Chain Amino Acids,1.94771214603563e-19,2.97779681374555e-19
LGALS4,-0.095990598,0.0200048564073787,1.60480200558752e-06,-0.023314128,Albumin1,Renal/Liver function,Albumin1,1.99216800693623e-06,1.95840244749663e-06
LGALS4,-0.095990598,0.0200048564073787,1.60480200558752e-06,-0.023314128,Albumin1,Renal/Liver function,Albumin1,1.99216800693623e-06,1.95840244749663e-06
LGALS4,-1.049113996,0.0324627167575127,3.49546399313442e-225,-0.188868399,Ratio of omega-6 fatty acids to total fatty acids,Triglycerides&Fatty acid,Omega-6 FA/Total FA,2.02962425407805e-224,2.39688959529218e-224
LGALS4,-1.049113996,0.0324627167575127,3.49546399313442e-225,-0.188868399,Ratio of omega-6 fatty acids to total fatty acids,Triglycerides&Fatty acid,Omega-6 FA/Total FA,2.02962425407805e-224,2.39688959529218e-224
LGALS4,-0.205689255,0.00792103805633247,5.25783373254526e-147,-0.155928371,Total cholesterol minus HDL-C,Cholesterol,Non-HDL-C,2.0352904771143e-146,9.24653518482098e-147
LGALS4,-0.205689255,0.00792103805633247,5.25783373254526e-147,-0.155928371,Total cholesterol minus HDL-C,Cholesterol,Non-HDL-C,2.0352904771143e-146,9.24653518482098e-147
LGALS4,0.000810833856118797,0.000114545279148014,1.48753736156795e-12,0.0432797592405247,Acetoacetate,Glycolysis related metabolites,Acetoacetate,2.06363564610583e-12,2.15436445468462e-12
LGALS4,0.000810833856118797,0.000114545279148014,1.48753736156795e-12,0.0432797592405247,Acetoacetate,Glycolysis related metabolites,Acetoacetate,2.06363564610583e-12,2.15436445468462e-12
LGALS4,-0.209448287,0.0068859734551389,4.18304858269888e-200,-0.181903357,Clinical LDL cholesterol,Cholesterol,Clinical LDL-C,2.15128212824514e-199,1.06667738858822e-199
LGALS4,-0.209448287,0.0068859734551389,4.18304858269888e-200,-0.181903357,Clinical LDL cholesterol,Cholesterol,Clinical LDL-C,2.15128212824514e-199,1.06667738858822e-199
