mediator,outcome,beta_MO,CI_lower_beta,CI_upper_beta,se_MO,HR,CI_lower,CI_upper,P_value,pval
Glycated.haemoglobin..HbA1c.,dementia,0.012544967,0.011480687,0.013609247,5.43E-04,1.012623985,1.011547339,1.013701778,3.40E-118,4.08E-116
Glucose1,dementia,0.103353196,0.091537865,0.115168527,0.00602823,1.108882993,1.09585851,1.122062275,6.87E-66,4.12E-64
Cystatin.C,dementia,0.610711141,0.534296478,0.687125804,0.038987073,1.84174067,1.706249831,1.987990641,2.65E-55,1.06E-53
Glucose,dementia,0.111452856,0.095380674,0.127525038,0.008200093,1.117901041,1.100077871,1.136012977,4.49E-42,1.35E-40
Glucose-lactate,dementia,0.104799324,0.088801933,0.120796715,0.008161934,1.110487739,1.092864496,1.128395171,9.79E-38,2.35E-36
Neutrophill.count,dementia,0.084203302,0.071223233,0.097183371,0.006622484,1.087850034,1.073821168,1.102062179,4.90E-37,9.79E-36
Neutrophill.percentage,dementia,0.014971061,0.012387985,0.017554137,0.001317896,1.015083689,1.012465082,1.017709068,6.63E-30,1.14E-28
Lymphocyte.percentage,dementia,-0.016740628,-0.019718268,-0.013762988,0.001519204,0.983398718,0.980474919,0.986331236,3.08E-28,4.62E-27
Vitamin.D,dementia,-0.005730116,-0.006849276,-0.004610956,5.71E-04,0.99428627,0.993174284,0.995399501,1.05E-23,1.41E-22
White.blood.cell..leukocyte..count,dementia,0.017941481,0.014408107,0.021474855,0.001802742,1.018103396,1.01451247,1.021707033,2.46E-23,2.96E-22
Cholesterol1,dementia,-0.094864017,-0.113766514,-0.07596152,0.009644131,0.909496602,0.892466621,0.926851549,7.84E-23,8.56E-22
Polyunsaturated fatty acids,dementia,-0.177736245,-0.214282703,-0.141189787,0.018646152,0.837163201,0.807120719,0.868323917,1.54E-21,1.54E-20
LDL.direct,dementia,-0.117948597,-0.142596945,-0.093300249,0.012575688,0.888741735,0.867103881,0.910919545,6.65E-21,6.14E-20
Linoleic acid,dementia,-0.197043699,-0.238808859,-0.155278539,0.021308755,0.821154749,0.787566009,0.856176008,2.31E-20,1.98E-19
Omega-6 fatty acids,dementia,-0.197381822,-0.239948975,-0.154814669,0.021717935,0.820877145,0.786668616,0.856573242,1.00E-19,8.04E-19
Gamma.glutamyltransferase,dementia,0.001700926,0.001324606,0.002077246,1.92E-04,1.001702373,1.001326305,1.002078583,6.80E-19,5.10E-18
Total esterified cholesterol,dementia,-0.179845955,-0.221726427,-0.137965483,0.021367588,0.835398891,0.80113512,0.87112809,3.87E-17,2.73E-16
Total cholesterol,dementia,-0.128429441,-0.158502491,-0.098356391,0.015343393,0.879475615,0.853421309,0.906325339,5.75E-17,3.83E-16
Cholesteryl esters in LDL,dementia,-0.36456003,-0.451766916,-0.277353144,0.044493309,0.694502144,0.636503531,0.757785627,2.54E-16,1.60E-15
LDL cholesterol,dementia,-0.266481958,-0.330421362,-0.202542554,0.032622145,0.766069825,0.718621715,0.816650771,3.12E-16,1.87E-15
Total free cholesterol,dementia,-0.432793512,-0.537523356,-0.328063668,0.053433594,0.648694426,0.584194425,0.720315772,5.51E-16,3.15E-15
Clinical LDL cholesterol,dementia,-0.156487359,-0.194683214,-0.118291504,0.019487681,0.855142328,0.823095939,0.888436409,9.74E-16,5.31E-15
Total cholesterol minus HDL-C,dementia,-0.135083545,-0.168500547,-0.101666543,0.017049491,0.87364292,0.844931321,0.903330169,2.32E-15,1.21E-14
Free cholesterol in LDL,dementia,-0.918913181,-1.149636421,-0.688189941,0.117715939,0.398952395,0.316753256,0.502482643,5.89E-15,2.95E-14
Total lipids in lipoprotein particles,dementia,-0.068053786,-0.085297597,-0.050809975,0.008797863,0.934210224,0.918239268,0.950458964,1.03E-14,4.95E-14
Phospholipids in LDL,dementia,-0.773802164,-0.972619023,-0.574985305,0.101437173,0.461255959,0.378092891,0.562711083,2.38E-14,1.10E-13
Total phospholipids in lipoprotein particles,dementia,-0.237734876,-0.299641145,-0.175828607,0.031584831,0.78841169,0.741084958,0.838760774,5.20E-14,2.31E-13
Ratio of linoleic acid to total fatty acids,dementia,-0.031268295,-0.039418998,-0.023117592,0.004158522,0.969215503,0.961347965,0.977147427,5.52E-14,2.36E-13
Apolipoprotein A1,dementia,-0.357701259,-0.451232929,-0.264169589,0.04772024,0.699281948,0.636843581,0.767841991,6.59E-14,2.73E-13
Phosphatidylcholines,dementia,-0.306077036,-0.386318993,-0.225835079,0.040939774,0.736329893,0.67955472,0.797848497,7.65E-14,3.06E-13
"Remnant cholesterol (non-HDL, non-LDL -cholesterol)",dementia,-0.253929728,-0.321341015,-0.186518441,0.034393514,0.775746313,0.725176811,0.829842231,1.55E-13,5.99E-13
Total cholines,dementia,-0.272230895,-0.344691623,-0.199770167,0.036969759,0.761678373,0.708439729,0.818917855,1.79E-13,6.71E-13
Degree of unsaturation,dementia,-1.280869704,-1.630940228,-0.93079918,0.17860741,0.277795595,0.195746701,0.394235981,7.42E-13,2.70E-12
Total lipids in LDL,dementia,-0.3440889,-0.441471271,-0.246706529,0.049684883,0.708865907,0.643090717,0.78136857,4.35E-12,1.53E-11
Apolipoprotein B,dementia,-0.493283568,-0.633221937,-0.353345199,0.071397127,0.610618093,0.530879951,0.7023329,4.88E-12,1.67E-11
Phosphoglycerides,dementia,-0.26115601,-0.336072304,-0.186239716,0.038222599,0.770160758,0.714572421,0.830073447,8.34E-12,2.78E-11
Docosahexaenoic acid,dementia,-1.169082329,-1.519106847,-0.819057811,0.178583938,0.310651887,0.218908726,0.440843984,5.89E-11,1.91E-10
Cholesteryl esters in VLDL,dementia,-0.659418201,-0.857366749,-0.461469653,0.100994157,0.517152125,0.424279386,0.630354265,6.61E-11,2.09E-10
Alkaline.phosphatase,dementia,0.002238851,0.001541091,0.002936611,3.56E-04,1.002241359,1.001542773,1.002940433,3.11E-10,9.57E-10
VLDL cholesterol,dementia,-0.365705243,-0.481366748,-0.250043738,0.059010972,0.693707246,0.617939562,0.778765065,5.75E-10,1.72E-09
Omega-3 fatty acids,dementia,-0.414018105,-0.545992235,-0.282043975,0.06733374,0.660988984,0.579268134,0.754238687,7.81E-10,2.29E-09
Aspartate.aminotransferase,dementia,0.004071407,0.002734687,0.005408127,6.82E-04,1.004079706,1.002739139,1.005422065,2.33E-09,6.64E-09
Valine,dementia,-2.091815104,-2.778621709,-1.405008499,0.350411533,0.123462834,0.062124857,0.245361875,2.38E-09,6.64E-09
SHBG,dementia,0.002697661,0.001780381,0.003614941,4.68E-04,1.002701303,1.001781222,1.003622229,8.44E-09,2.30E-08
Apolipoprotein.B1,dementia,-0.262183158,-0.352914878,-0.171451438,0.046291694,0.769370094,0.702638172,0.842439772,1.48E-08,3.95E-08
Ratio of omega-6 fatty acids to omega-3 fatty acids,dementia,0.013793553,0.008952525,0.018634581,0.002469912,1.013889123,1.008992809,1.018809196,2.34E-08,6.11E-08
Free cholesterol in VLDL,dementia,-0.756872898,-1.02530607,-0.488439726,0.1369557,0.469131156,0.358688434,0.613579979,3.27E-08,8.35E-08
Acetate,dementia,1.501496587,0.951143899,2.051849275,0.280792188,4.48840133,2.588695318,7.782200693,8.92E-08,2.19E-07
Sphingomyelins,dementia,-1.097900086,-1.500271669,-0.695528503,0.205291624,0.333570819,0.2230712,0.498807068,8.89E-08,2.19E-07
Total concentration of branched-chain amino acids (leucine + isoleucine + valine),dementia,-0.926851103,-1.269545514,-0.584156692,0.174844087,0.395798078,0.280961055,0.55757236,1.15E-07,2.76E-07
Ratio of polyunsaturated fatty acids to total fatty acids,dementia,-0.0193672,-0.026775726,-0.011958674,0.00377986,0.980819139,0.973579698,0.988112411,2.99E-07,7.05E-07
Apolipoprotein.A1,dementia,-0.331995775,-0.459445637,-0.204545913,0.06502544,0.717490355,0.631635182,0.815015414,3.30E-07,7.61E-07
Leucine,dementia,-2.663638357,-3.69827783,-1.628998884,0.527877282,0.069694188,0.024766612,0.196122092,4.51E-07,1.02E-06
Acetoacetate,dementia,4.599406079,2.804311645,6.394500513,0.915864507,99.42524736,16.51624812,598.5245405,5.12E-07,1.14E-06
Total fatty acids,dementia,-0.030481843,-0.042552254,-0.018411432,0.006158373,0.969978043,0.958340599,0.981756805,7.43E-07,1.62E-06
Phospholipids in VLDL,dementia,-0.387019305,-0.546378551,-0.227660059,0.081305738,0.679077985,0.579044688,0.796392609,1.94E-06,4.15E-06
Ratio of omega-3 fatty acids to total fatty acids,dementia,-0.043360252,-0.061730746,-0.024989758,0.009372701,0.957566363,0.940136306,0.975319571,3.72E-06,7.84E-06
Albumin1,dementia,-0.020737769,-0.02961692,-0.011858618,0.004530179,0.97947578,0.970817522,0.988211257,4.70E-06,9.73E-06
Monocyte.percentage,dementia,-0.021646986,-0.031031727,-0.012262245,0.004788133,0.978585628,0.969444982,0.987812459,6.16E-06,1.25E-05
Ratio of monounsaturated fatty acids to total fatty acids,dementia,0.024671475,0.013892034,0.035450916,0.005499715,1.024978335,1.013989178,1.036086586,7.26E-06,1.45E-05
Total lipids in VLDL,dementia,-0.076131492,-0.109748403,-0.042514581,0.017151485,0.926694346,0.896060106,0.9583759,9.05E-06,1.78E-05
Creatinine1,dementia,0.001996414,0.001088934,0.002903894,4.63E-04,1.001998409,1.001090208,1.002907433,1.60E-05,3.09E-05
Acetone,dementia,9.376140429,5.079934897,13.67234596,2.191941598,11803.37078,160.7762812,866543.0049,1.89E-05,3.56E-05
Urate,dementia,-6.76E-04,-9.86E-04,-3.66E-04,1.58E-04,0.999324014,0.999014357,0.999633768,1.90E-05,3.56E-05
3-Hydroxybutyrate,dementia,0.870467651,0.46661948,1.274315822,0.206044985,2.388027356,1.594606346,3.576227239,2.39E-05,4.42E-05
Albumin,dementia,-0.017629396,-0.026098427,-0.009160365,0.004320934,0.982525093,0.974239346,0.990881309,4.50E-05,8.19E-05
HDL.cholesterol1,dementia,-0.137598784,-0.203856006,-0.071341562,0.033804705,0.871448261,0.815580795,0.93114266,4.69E-05,8.41E-05
Direct.bilirubin,dementia,0.05130256,0.026352354,0.076252766,0.012729697,1.052641332,1.026703118,1.079234839,5.57E-05,9.84E-05
Ratio of polyunsaturated fatty acids to monounsaturated fatty acids,dementia,-0.174590684,-0.259844459,-0.089336909,0.043496824,0.839800694,0.771172734,0.914535973,5.97E-05,1.04E-04
Cholesteryl esters in HDL,dementia,-0.245538429,-0.368094166,-0.122982692,0.062528437,0.782283221,0.69205357,0.884276976,8.61E-05,1.48E-04
Total lipids in HDL,dementia,-0.098031318,-0.147188996,-0.04887364,0.025080448,0.90662051,0.863131613,0.952300595,9.28E-05,1.57E-04
HDL cholesterol,dementia,-0.186795752,-0.283174801,-0.090416703,0.049172984,0.829613166,0.753389419,0.913548808,1.45E-04,2.42E-04
Ratio of saturated fatty acids to total fatty acids,dementia,0.027298522,0.013201393,0.041395651,0.007192413,1.027674541,1.013289178,1.042264128,1.47E-04,2.42E-04
Ratio of docosahexaenoic acid to total fatty acids,dementia,-0.07889266,-0.120489666,-0.037295654,0.021222962,0.924139116,0.886486927,0.963390525,2.01E-04,3.27E-04
Phospholipids in HDL,dementia,-0.186400992,-0.284886408,-0.087915576,0.050247661,0.829940728,0.752101044,0.915836533,2.08E-04,3.32E-04
Ratio of apolipoprotein B to apolipoprotein A1,dementia,-0.297558921,-0.471322304,-0.123795538,0.088654787,0.742628826,0.624178365,0.883557655,7.90E-04,0.001246906
Alanine.aminotransferase,dementia,-0.003214161,-0.005119281,-0.001309041,9.72E-04,0.996790998,0.994893213,0.998692404,9.48E-04,0.001476634
Ratio of omega-6 fatty acids to total fatty acids,dementia,-0.013152462,-0.020973605,-0.005331319,0.003990379,0.986933654,0.979244953,0.994682724,9.81E-04,0.001508567
Creatinine,dementia,2.475419176,0.958103968,3.992734384,0.774140412,11.88668869,2.606821989,54.20138719,0.001385591,0.002078387
Free cholesterol in HDL,dementia,-0.705202302,-1.137253877,-0.273150727,0.220434477,0.494008625,0.320701037,0.760972038,0.001378349,0.002078387
Saturated fatty acids,dementia,-0.048161417,-0.07813212,-0.018190714,0.015291175,0.952979947,0.924842738,0.981973197,0.00163482,0.002421955
Testosterone,dementia,-0.013191388,-0.02141691,-0.004965866,0.004196695,0.986895237,0.978810952,0.995046293,0.001670657,0.002444864
Histidine,dementia,-4.234608543,-6.914524571,-1.554692515,1.367304096,0.01448548,9.93E-04,0.211243927,0.001954572,0.002825887
Isoleucine,dementia,-2.486176884,-4.072963541,-0.899390227,0.809585029,0.083227548,0.01702735,0.406805789,0.00213395,0.0030485
Triglycerides in VLDL,dementia,-0.088764006,-0.148410285,-0.029117727,0.030431775,0.915061497,0.862078289,0.971301046,0.0035362,0.004992282
Mean.platelet..thrombocyte..volume,dementia,-0.02699322,-0.046758076,-0.007228364,0.01008411,0.973367841,0.954318589,0.992797337,0.007432736,0.01037126
Total triglycerides,dementia,-0.064417324,-0.114122677,-0.014711971,0.025359874,0.93761363,0.892149318,0.985394822,0.011081194,0.015284405
Calcium,dementia,-0.266344449,-0.507306722,-0.025382176,0.122939935,0.766175174,0.602117727,0.974932926,0.030276055,0.04128553
