outcome,Trend,category,b_APOMO95445,pval_APOMO95445,b_CD276,pval_CD276,b_Dementia ,pval_Dementia ,b_Dementia in Alzheimer disease ,pval_Dementia in Alzheimer disease ,b_Dementia in other diseases classified elsewhere ,pval_Dementia in other diseases classified elsewhere ,b_EGFRP00533,pval_EGFRP00533,b_GDF15Q99988,pval_GDF15Q99988,b_GHRLQ9UBU3,pval_GHRLQ9UBU3,b_LGALS4P56470,pval_LGALS4P56470,b_Unspecified dementia ,pval_Unspecified dementia ,b_Vascular dementia ,pval_Vascular dementia ,b_demenitameta,pval_demenitameta,pval_anycause
"1,2-dipalmitoyl-gpc (16:0/16:0) levels ",cfmet338,1,-0.009589904,0.764681182442758,0.0219199713093257,0.467173060577113,0,1,0,1,0,1,0.0147892750487391,0.862387256497485,-0.029876794,0.443143303727364,0.0539915645934625,0.242202192441791,0.0247678972568784,0.456953133792176,0,1,0,1,0,1,1
"1,5-anhydroglucitol (1,5-ag) levels ",cfmet338,1,0,1,0,1,-0.008632024,0.487977124299139,-0.02393505,0.23554138076979,-0.0346536,0.409759263869813,0,1,0,1,0,1,0,1,-0.034540847,0.156792915632755,-0.026646193,0.357819849207415,0.205311065952469,0.538334727345642,1
"2,3-dihydroxy-2-methylbutyrate levels ",cfmet338,1,-0.004858705,0.922405892204811,-0.081759706,0.0738148168736813,0.0050141942152807,0.568557014672414,-0.002346797,0.872961079699635,-0.010133512,0.748769799510107,0.0974917703151394,0.510796371180587,0.0495156250622742,0.403707005730762,0.0304147174376252,0.655332363022811,-0.043097183,0.401929563742123,0.0151299936537983,0.467870961028916,-0.002405975,0.913730002185775,-0.329247566,0.144870908357701,1
"2,3-dihydroxy-5-methylthio-4-pentenoate (dmtpa) levels ",cfmet338,1,-0.012338325,0.66833107661913,0,1,0,1,0,1,0,1,-0.011445378,0.891272023246215,0.0180893588652223,0.58825507699807,-0.000555534,0.98876535214977,-0.019155717,0.490392117174528,0,1,0,1,0,1,1
"5,6-dihydrothymine levels ",cfmet338,1,-0.015527024,0.544016919395832,0.0256965451965897,0.275732828933111,0.0932773764499439,0.436217548711307,0.109648479448384,0.586675596944237,0.338523226111928,0.593584624711312,-0.021222619,0.754383073175763,0.0376084660998622,0.218988606087747,0.055790801941661,0.125392296239251,-0.030162326,0.247727496694305,0.229460426680859,0.333933464407713,-0.201207339,0.479138303015501,-0.657573042,0.683373567577934,1
"Adenosine 3',5'-cyclic monophosphate (camp) levels ",cfmet338,1,-0.017405013,0.81667581662416,-0.114055142,0.0844144119267224,0.0193884365392639,0.66367796922293,-0.065195685,0.384854709812962,0.0380308407180657,0.806614007603938,-0.023344222,0.89559953740192,0.0266462606825091,0.74163769228532,0.106140559569952,0.307698985458518,0.105084612827593,0.119671426211019,0.0069550518091325,0.936771280699859,0.205227576601529,0.0527434285539607,-0.014988248,0.984956767809049,1
"Bilirubin (z,z) levels ",cfmet338,1,0,1,0,1,-0.011978742,0.786151458513874,-0.104759834,0.244349625290933,-0.154874095,0.297261847325866,0,1,0,1,0,1,0,1,0.100920384883527,0.23304651725868,-0.004030531,0.968592854462013,-0.670150964,0.798554927862708,1
"Cys-gly, oxidized levels ",cfmet338,1,0,1,0,1,-0.042506121,0.380733262381895,-0.02178903,0.617145874529239,0.0005614286327718,0.995204542959138,0,1,0,1,0,1,0,1,-0.101395438,0.0618008523755729,-0.051936613,0.393164858435554,0.774830567729117,0.11091307025167,1
"N,n,n-trimethyl-alanylproline betaine (tmap) levels ",cfmet338,1,0.0097010927789824,0.87207303578398,0,1,-0.002507747,0.795515046783118,0.0073790389050541,0.647651164985902,-0.020305905,0.547681654788299,0.0993870732210974,0.547688181908718,0.0229022085148858,0.741530108239856,0.0276227403316179,0.739946801424169,0.0600109137393152,0.345556730485873,-0.014136459,0.461289793452205,-0.052468138,0.0350991164229293,0.0379361074565699,0.790276422323241,0.0350991164229293
"N2,n2-dimethylguanosine levels ",cfmet338,1,0.0238652891002476,0.386765596998692,0.0073444782530985,0.775274466872511,0,1,0,1,0,1,0.0262561770504641,0.651547092412231,0.0142928238868227,0.665243135639989,0.002825078969439,0.945876804524769,-0.019287336,0.472444691352439,0,1,0,1,0,1,1
"N6,n6,n6-trimethyllysine levels ",cfmet338,1,0.0049019520361491,0.909516831119555,0,1,0,1,0,1,0,1,0.0279189473675405,0.667482650177822,0.0450829169833498,0.207443259787683,-0.031914947,0.488951222868951,-0.020392312,0.47633664534137,0,1,0,1,0,1,1
"Sphingomyelin (d18:1/14:0, d16:1/16:0) levels ",cfmet338,1,0,1,0,1,0.0191934838342778,0.81582148637787,-0.077993071,0.773265643067248,-0.346742098,0.222712081117323,0,1,0,1,0,1,0,1,0.103013099800119,0.526764344326557,0.216786077705436,0.263202404877035,-0.818910545,0.570200525961491,1
"Sphingomyelin (d18:1/18:1, d18:2/18:0) levels ",cfmet338,1,-0.011883248,0.72166809405654,0.0207701297159994,0.476029187732101,0.0873149986748754,0.276873796163232,0.0588965719718086,0.662328056200548,-0.120909002,0.664455744122849,-0.015567448,0.877038322909358,-0.022535547,0.569909967143597,0.0646699067784351,0.265618456224089,0.0284859905808715,0.380876352637733,0.0459094142761762,0.773693817883968,0.278530064710768,0.292952174514938,0,1,1
"Sphingomyelin (d18:1/20:0, d16:1/22:0) levels ",cfmet338,1,0,1,0,1,0.0047769929955563,0.776119747528963,-0.004469771,0.887399959054603,0.0613142033614419,0.292722947038284,0,1,0,1,0,1,0,1,-0.033810424,0.35884973936207,-0.000107738,0.997854415430908,-0.262554739,0.414824184135468,1
