protein,mediator,beta_XM,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95
APOM,C-glycosyltryptophan levels ,0.0786289357563184,0.034886321153905,0.0242048830430863,0.0102517462946647,0.147006125217972,1.08180282923646,1.01030447548041,1.1583610582221
APOM,Cysteinylglycine disulfide levels ,0.0738783877098407,0.0293602538713159,0.0118603576642582,0.0163322901220615,0.13142448529762,1.07667586051697,1.01646639103601,1.14045178359358
APOM,Galactosylglycerol levels ,-0.07643437,0.0358883743323863,0.0331897155053266,-0.146775584,-0.006093156,0.926413712662369,0.863487736252218,0.993925369147557
APOM,Gamma-glutamylvaline levels ,0.0952351073133309,0.0451583391119136,0.0349519027997744,0.0067247626539803,0.183745451972681,1.09991742335956,1.0067474246407,1.20170989127855
APOM,Methylsuccinoylcarnitine levels ,0.230464842942796,0.0707948897852695,0.0011323750279011,0.0917068589636672,0.369222826921924,1.25918519726146,1.0960434796623,1.44660991139777
APOM,Succinylcarnitine (c4-dc) levels ,0.092334954679972,0.0331807788962357,0.0053894603134969,0.0273006280433501,0.157369281316594,1.09673211611892,1.02767670476581,1.17042775120683
APOM,X-24228 levels ,0.0635790691834977,0.031498613675821,0.0435421292676745,0.0018417863788885,0.125316351988107,1.06564374205097,1.00184348350918,1.1335069835407
APOM,X-24431 levels ,0.24317712753852,0.0909989631368072,0.0075331789806434,0.0648191597903782,0.421535095286662,1.27529449388858,1.06696605657122,1.52429970581166
APOM,OTU97_56 (Ruminococcaceae) abundance ,0.323613683522255,0.125695422082838,0.0100360111191802,0.0772506562398918,0.569976710804618,1.38211327084198,1.08031282960997,1.76822587039642
APOM,OTU99_30 (Parasutterella) abundance ,0.457380693476067,0.142971446811559,0.0013785487366565,0.177156657725411,0.737604729226722,1.57993023891087,1.19381809930677,2.0909211891447
APOM,OTU99_34 (Holdemanella) abundance ,0.365460042364869,0.158772611142287,0.0213474322058267,0.0542657245259868,0.676654360203751,1.44117685807799,1.05576510756761,1.96728488313537
APOM,G_Holdemanella prevalence ,-0.322113711,0.164217273584116,0.0498196402641768,-0.643979567,-0.000247854,0.724615789092944,0.525198198384013,0.999752176261031
APOM,G_Ruminococcus prevalence ,-0.522901697,0.258519334210826,0.043106225842375,-1.029599592,-0.016203802,0.592797929724878,0.357149937482554,0.983926773060871
APOM,OTU97_100 (Ruminococcaceae) prevalence ,-0.526389484,0.227732068846544,0.0208084496996801,-0.972744339,-0.080034629,0.590733978640961,0.378044132098976,0.923084380607753
APOM,TestASV_14 (Lachnospiraceae) prevalence ,-0.54918592,0.175703511188207,0.0017741860509345,-0.893564802,-0.204807039,0.577419684640998,0.409194452309897,0.814804527111243
APOM,TestASV_27 (Ruminococcaceae) prevalence ,-0.456985784,0.205794862977197,0.0263788197211926,-0.860343716,-0.053627853,0.633189341350619,0.423016659926484,0.947784756443655
APOM,T-cell surface glycoprotein CD5 levels ,-0.065325143,0.0316200601965619,0.0388341562903006,-0.127300461,-0.003349826,0.936762831518351,0.880469085808826,0.996655778900128
APOM,Hepatocyte growth factor levels ,-0.079973646,0.0368528210271056,0.0300006299082888,-0.152205175,-0.007742117,0.923140674691286,0.858812055880301,0.992287776393603
APOM,Interleukin-13 levels ,0.0889139515710286,0.0370796539838694,0.0164885780063553,0.0162378297626446,0.161590073379413,1.09298660249976,1.01637037979008,1.17537832368817
APOM,Monocyte chemoattractant protein-3 levels ,-0.111349802,0.0375100516192568,0.0029922559824921,-0.184869503,-0.037830101,0.894625752417022,0.831212747498521,0.962876519033591
APOM,Macrophage inflammatory protein 1a levels ,-0.081382059,0.0407337418070747,0.0457271942533606,-0.161220193,-0.001543925,0.921841426704322,0.851104643571718,0.998457266573064
APOM,Benzoate levels ,-0.091951618,0.0457180681333276,0.044296393005771,-0.181559032,-0.002344205,0.912149279947821,0.833969013249604,0.997658540893903
APOM,Tartarate levels ,0.10526837287397,0.0452394927618303,0.0199698855066168,0.0165989670607827,0.193937778687158,1.11100873495684,1.01673749532851,1.21402074264172
APOM,Imidazole lactate levels ,-0.116386329,0.0509218645549377,0.022278457604693,-0.216193183,-0.016579474,0.890131273456387,0.805579662226515,0.983557208724939
APOM,Sphingosine 1-phosphate levels ,0.228623330373402,0.0690347570326822,0.0009272648606524,0.0933152065893451,0.363931454157459,1.25686852563815,1.09780771696358,1.43897557498425
APOM,Gamma-glutamylvaline levels ,-0.126420829,0.0430217829532475,0.0032977202176585,-0.210743524,-0.042098134,0.881243915790083,0.80998178150653,0.958775687118067
APOM,1-oleoyl-GPC (18:1) levels ,0.124946265848755,0.0590917450334587,0.0344772472829019,0.0091264455831763,0.240766086114334,1.13308756593234,1.00916821857059,1.27222341
APOM,N-acetylhistidine levels ,-0.103626934,0.0489033044653715,0.0340890288822344,-0.199477411,-0.007776458,0.901561576362752,0.819158724512159,0.992253700841376
APOM,Stachydrine levels ,-0.09499982,0.0458986867253577,0.0384736940561394,-0.184961246,-0.005038394,0.909373098305881,0.831136493244424,0.994974277563388
APOM,Gamma-glutamylmethionine levels ,-0.08667247,0.0440512009275242,0.0491210663198749,-0.173012824,-0.000332117,0.916977383721398,0.841126828010913,0.999667938597282
APOM,3-hydroxydodecanedioate levels ,-0.10450805,0.0464204427859863,0.0243642149958162,-0.195492118,-0.013523982,0.900767546053471,0.822429825912398,0.986567055885954
APOM,Gamma-glutamyl-2-aminobutyrate levels ,-0.091067179,0.0428910574682795,0.0337353657525094,-0.175133652,-0.007000707,0.91295637714439,0.839344833278395,0.99302374128293
APOM,3-(3-hydroxyphenyl)propionate levels ,0.0948568507126061,0.0442995394675204,0.0322530426321064,0.0080297533562661,0.181683948068946,1.09950145101103,1.00806207828823,1.19923511340509
APOM,Tryptophan betaine levels ,0.136633132364216,0.0415534520929763,0.0010085542986028,0.0551883662619822,0.218077898466449,1.14640749155633,1.0567396500269,1.24368394491777
APOM,3-methyladipate levels ,-0.120804299,0.043859978716763,0.0058814712293032,-0.206769858,-0.034838741,0.886207373998313,0.813206781799623,0.965761141331089
