protein,mediator,method,beta_XM,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95
CD276,TestASV_2 (Bacteroides) prevalence || id:ebi-gm430-GCST90011693,Inverse variance weighted,0.308953916431753,0.101978795291987,0.0024488610362022,0.109075477659459,0.508832355204048,1.3619996032555,1.11524652336212,1.66334786113097
CD276,TestASV_41 (Barnesiella) prevalence || id:ebi-gm430-GCST90011717,Inverse variance weighted,-0.530788057,0.194947853031228,0.0064747271267283,-0.912885849,-0.148690265,0.588141298261502,0.401364274538494,0.861836014474551
CD276,X-15523 levels || id:ebi-met1400-GCST90200541,Inverse variance weighted,-0.101042086,0.0374590901070648,0.0069883629941652,-0.174461902,-0.027622269,0.903894991201655,0.839908852364594,0.972755737505644
CD276,OTU99_58 (Bacteroides) abundance || id:ebi-gm430-GCST90011466,Inverse variance weighted,0.25208539365809,0.0948147966083011,0.0078439600004738,0.0662483923058197,0.43792239501036,1.28670590911806,1.06849208942026,1.54948465501288
CD276,3-phosphoglycerate to phosphate ratio || id:ebi-met1400-GCST90200729,Inverse variance weighted,-0.089216448,0.0349432913552579,0.0106744878290011,-0.157705299,-0.020727597,0.914647578103071,0.854101449008057,0.979485742708209
CD276,Cortisone levels || id:ebi-met1400-GCST90200360,Inverse variance weighted,0.105167714290696,0.0421180118049878,0.0125257017486382,0.02261641115292,0.187719017428472,1.11089690801984,1.02287410118736,1.20649446380107
CD276,Methyl indole-3-acetate levels || id:ebi-met1400-GCST90200296,Inverse variance weighted,-0.09255379,0.0372516798323761,0.0129714034349571,-0.165567082,-0.019540497,0.911600175055043,0.847413015094645,0.980649180928111
CD276,S-allylcysteine levels || id:ebi-met1400-GCST90199948,Inverse variance weighted,0.0935992314004961,0.0381662330668898,0.0141903081532032,0.018793414589392,0.1684050482116,1.09811956587739,1.01897112230463,1.18341585405818
CD276,Sphinganine levels || id:ebi-met1400-GCST90200374,Inverse variance weighted,-0.091841538,0.0383166082928886,0.0165338937291474,-0.166942091,-0.016740986,0.912249694571232,0.846248615559632,0.983398365378673
CD276,O_Bacteroidales abundance || id:ebi-gm430-GCST90011348,Inverse variance weighted,-0.108886249,0.0455971974860688,0.0169401989048068,-0.198256756,-0.019515742,0.896832427340842,0.82015924528885,0.980673457441547
CD276,Monocyte chemoattractant protein-3 levels || id:ebi-IPs91-GCST90274823,Inverse variance weighted,0.070431421311409,0.0303694917515082,0.0203868785612454,0.010907217478453,0.129955625144365,1.07297098396457,1.01096691803323,1.13877784910075
CD276,P_Bacteroidetes abundance || id:ebi-gm430-GCST90011482,Inverse variance weighted,-0.103738597,0.0456440602747487,0.0230398501429368,-0.193200956,-0.014276239,0.901460910788271,0.824316306509315,0.985825182957286
CD276,4-oxo-retinoic acid levels || id:ebi-met1400-GCST90199894,Inverse variance weighted,-0.082070886,0.0365526610324314,0.0247502912762048,-0.153714101,-0.01042767,0.921206655947637,0.857517148935093,0.989626509529387
CD276,X-24565 levels || id:ebi-met1400-GCST90200645,Inverse variance weighted,-0.105548351,0.0479713063416525,0.0277899251465493,-0.199572111,-0.01152459,0.899830964139487,0.819081153635334,0.988541563226696
CD276,Sucrose levels || id:ebi-met1400-GCST90200449,Inverse variance weighted,-0.077608907,0.0354803761600255,0.0287151209420748,-0.147150444,-0.008067369,0.925326244734676,0.863164109858946,0.991965084524539
CD276,Phosphatidylcholine (O-16:0_16:0) levels || id:ebi-PL179-GCST90277318,Inverse variance weighted,-0.118095415,0.0543606091721216,0.0298221394144989,-0.224642209,-0.011548621,0.888611261562208,0.79880197166355,0.988517808150535
