protein,mediator,beta_XM,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95
EGFR,2-aminobutyrate levels || id:ebi-met1400-GCST90200305,-0.153370714,0.0774474764562912,0.0476676880406873,-0.305167768,-0.00157366,0.857811660037168,0.736999719130945,0.998427577371956
EGFR,3-aminoisobutyrate levels || id:ebi-met1400-GCST90200310,0.138691151060861,0.0637983546145736,0.0297127544213809,0.0136463760162964,0.263735926105425,1.14876924904487,1.01373991280057,1.30178438363483
EGFR,4-hydroxyphenylacetylglutamine levels || id:ebi-met1400-GCST90200106,0.131921719989818,0.0634297112338206,0.037543003639508,0.0075994859715299,0.256243954008107,1.14101899679251,1.00762843535205,1.29206789463669
EGFR,5-acetylamino-6-formylamino-3-methyluracil levels || id:ebi-met1400-GCST90200680,-0.157013214,0.0685582584156873,0.0220088039931051,-0.2913874,-0.022639027,0.854692765085565,0.747226146381529,0.977615312615974
EGFR,5-methyluridine (ribothymidine) levels || id:ebi-met1400-GCST90199783,-0.172229257,0.0646892898289217,0.0077583868144149,-0.299020265,-0.045438249,0.8417861660187,0.741544382141352,0.955578609137638
EGFR,6-oxopiperidine-2-carboxylate levels || id:ebi-met1400-GCST90199949,-0.178506941,0.0872698400720294,0.040809558219604,-0.349555828,-0.007458055,0.836518250529513,0.70500116223821,0.992569687753957
EGFR,Acisoga levels || id:ebi-met1400-GCST90199962,0.151777839009446,0.0664734753765322,0.0224136304751903,0.0214898272714426,0.282065850747449,1.16390163416755,1.02172239657991,1.32586602638102
EGFR,Adenosine 5'-monophosphate (AMP) to glutamine ratio || id:ebi-met1400-GCST90200848,0.139541815845085,0.0657263588120176,0.0337477885959864,0.010718152573531,0.26836547911664,1.14974688235039,1.01077579773663,1.30782503541789
EGFR,Adenosine 5'-monophosphate (AMP) to N-palmitoyl-sphingosine (d18:1 to 16:0) ratio || id:ebi-met1400-GCST90200969,0.130022444377668,0.0649773553628013,0.0453878187168478,0.0026668278665773,0.257378060888758,1.1388539439058,1.00267038701519,1.29353406896832
EGFR,Alanine to pyruvate ratio || id:ebi-met1400-GCST90200780,-0.19496839,0.0800338271342493,0.0148476137218532,-0.351834691,-0.038102089,0.822860668482321,0.703396390171975,0.962614663930287
EGFR,Alpha-ketobutyrate levels || id:ebi-met1400-GCST90200438,-0.158758688,0.0670273039581175,0.0178571260078024,-0.290132203,-0.027385172,0.85320222238725,0.748164651145094,0.972986402354591
EGFR,Alpha-ketobutyrate to 3-methyl-2-oxobutyrate ratio || id:ebi-met1400-GCST90200917,-0.168276593,0.0666477050876791,0.0115742073113575,-0.298906095,-0.037647091,0.84512004783217,0.741629048657759,0.963052750617708
EGFR,Alpha-ketobutyrate to 3-methyl-2-oxovalerate ratio || id:ebi-met1400-GCST90201006,-0.159040557,0.0659855023354552,0.0159422547882814,-0.288372142,-0.029708973,0.852961764569278,0.749482626575409,0.970728000916422
EGFR,Alpha-ketobutyrate to 4-methyl-2-oxopentanoate ratio || id:ebi-met1400-GCST90201010,-0.173526602,0.0682095696573152,0.0109584385424343,-0.307217358,-0.039835845,0.840694786973478,0.735490718589588,0.960947170345961
EGFR,Alpha-ketobutyrate to pyruvate ratio || id:ebi-met1400-GCST90200922,-0.149418031,0.0698128437089269,0.0323333051491281,-0.286251204,-0.012584857,0.861209027917485,0.751073919275116,0.987494001232793
EGFR,Alpha-ketoglutarate to alpha-ketobutyrate ratio || id:ebi-met1400-GCST90200714,0.138371887128831,0.0665560903125395,0.0376148987709267,0.0079219501162538,0.268821824141408,1.14840254699791,1.00795341178746,1.30842199106458
EGFR,"Androstenediol (3alpha, 17alpha) monosulfate (3) levels || id:ebi-met1400-GCST90199856",-0.134347719,0.0607538427031283,0.0270119409182816,-0.253425251,-0.015270187,0.874286005888352,0.776137758513479,0.984845810821265
EGFR,Argininate levels || id:ebi-met1400-GCST90199900,-0.169896957,0.0629737495085367,0.0069778137868059,-0.293325506,-0.046468408,0.843751754825206,0.745779345501161,0.954594717680482
EGFR,Behenoyl sphingomyelin (d18:1/22:0) levels || id:ebi-met1400-GCST90199997,-0.170020554,0.0629754699039314,0.0069383223067751,-0.293452475,-0.046588633,0.84364747612421,0.74568466070882,0.954479958450795
EGFR,"Branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1) levels || id:ebi-met1400-GCST90200251",-0.136028836,0.0637591095297522,0.0328853053191537,-0.26099669,-0.011060981,0.872817463745897,0.770283468889423,0.988999966620317
EGFR,C_Negativicutes prevalence || id:ebi-gm430-GCST90011534,-0.569149148,0.266130372283534,0.0324672447584825,-1.090764678,-0.047533619,0.566006821733073,0.335959494625606,0.953578414580569
EGFR,Caprate (10:0) levels || id:ebi-met1400-GCST90200428,-0.135353464,0.0637422307534485,0.0337161294187052,-0.260288236,-0.010418692,0.873407139105372,0.770829372760985,0.989635394805808
EGFR,Caprylate (8:0) levels || id:ebi-met1400-GCST90200445,-0.14422786,0.0653008733364389,0.0271978365872736,-0.272217572,-0.016238149,0.865690469048615,0.761688520895407,0.983892979404003
EGFR,Dopamine 4-sulfate levels || id:ebi-met1400-GCST90200016,-0.142825536,0.071096590116908,0.0445483422020768,-0.282174853,-0.00347622,0.866905299285788,0.754141809166466,0.99652981547386
EGFR,G_Roseburia abundance || id:ebi-gm430-GCST90011342,-0.210134565,0.0927455301493121,0.0234690852072829,-0.391915805,-0.028353326,0.810475176689565,0.675761007584728,0.972044857068233
EGFR,Gamma-CEHC levels || id:ebi-met1400-GCST90199864,0.170171386015095,0.0738767724060553,0.0212535870395883,0.0253729120992265,0.314969859930963,1.18550801340458,1.02569754423918,1.37021801186915
EGFR,Glutamine levels || id:ebi-met1400-GCST90200419,-0.159299453,0.0705442754739028,0.0239363995716655,-0.297566233,-0.021032674,0.852740964496267,0.742623395125063,0.97918697054725
EGFR,Glycine to alanine ratio || id:ebi-met1400-GCST90200757,0.140640522961257,0.0710702866975368,0.047828006849423,0.0013427610340849,0.279938284888429,1.15101081164874,1.00134366294132,1.32304815775313
EGFR,Glycosyl-N-behenoyl-sphingadienine (d18:2/22:0) levels || id:ebi-met1400-GCST90200105,-0.141077003,0.0639746127686481,0.0274398586516211,-0.266467244,-0.015686762,0.868422438301382,0.766081097322001,0.98443563479328
EGFR,Hepatocyte growth factor levels || id:ebi-IPs91-GCST90274793,0.111148775320831,0.0552127544151396,0.0441041494717653,0.0029317766671574,0.219365773974505,1.1175611600071,1.00293607852737,1.24528668685471
EGFR,Histidine to glutamine ratio || id:ebi-met1400-GCST90200997,0.163763658369642,0.0677553116772639,0.0156496072112117,0.0309632474822046,0.296564069257079,1.17793588690396,1.03144759489382,1.34522874504261
EGFR,Lanthionine levels || id:ebi-met1400-GCST90199931,-0.144233565,0.0664170205259812,0.0298831608493017,-0.274410925,-0.014056205,0.865685530516336,0.760019699736441,0.986042122336079
EGFR,Mannonate levels || id:ebi-met1400-GCST90199932,0.164494134559892,0.0642272130511768,0.0104332810958563,0.0386087969795854,0.290379472140199,1.17879665537015,1.03936380184918,1.33693472125893
EGFR,Methionine levels || id:ebi-met1400-GCST90200391,-0.172910523,0.0659934930772364,0.0087900188396415,-0.30225777,-0.043563277,0.841212880274176,0.73914751033899,0.957371972496579
EGFR,Methionine sulfoxide levels || id:ebi-met1400-GCST90199625,-0.17670937,0.0798642127571192,0.0269236688997051,-0.333243227,-0.020175513,0.838023303998988,0.716595877618879,0.980026650975081
