protein,mediator,beta_XM,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95
GDF15,Hypoxanthine levels || id:ebi-cfmet338-GCST90026031,0.144158573663877,0.0673265556227899,0.0322591668918475,0.0121985246432089,0.276118622684545,1.15506725725025,1.01227323010136,1.31800419995107
GDF15,5-methylthioadenosine (mta) levels || id:ebi-cfmet338-GCST90026104,0.0803889227219097,0.03455229180085,0.0199872419998311,0.0126664307922436,0.148111414651576,1.08370846457003,1.01274698979912,1.15964209028523
GDF15,Isovalerate (i5:0) levels || id:ebi-cfmet338-GCST90026190,0.260677482547628,0.108848788029871,0.0166267648953704,0.0473338580090803,0.474021107086175,1.29780903186638,1.04847199142583,1.606440894
GDF15,Serine levels || id:ebi-cfmet338-GCST90026264,0.0514351151955062,0.0226025088988135,0.0228677193094731,0.0071341977538318,0.0957360326371806,1.05278087459474,1.00715970676866,1.10046853787315
GDF15,Butyrate (4:0) levels || id:ebi-cfmet338-GCST90026310,0.1100534915572,0.0480308054003078,0.0219454583606503,0.0159131129725968,0.204193870141803,1.11633778350819,1.01604040084061,1.2265359191002
GDF15,OTU97_117 (Ruminococcus) abundance || id:ebi-gm430-GCST90011364,0.620034243536133,0.279106870437756,0.0263175193133345,0.0729847774781313,1.16708370959413,1.85899169920583,1.07571416170772,3.21261006012039
GDF15,OTU97_235 (Phascolarctobacterium) abundance || id:ebi-gm430-GCST90011384,-0.749548245,0.308562818934314,0.0151338806965203,-1.35433137,-0.14476512,0.472579994827141,0.258119823354743,0.865225493370526
GDF15,OTU99_137 (Ruminococcus) abundance || id:ebi-gm430-GCST90011432,0.620034243536133,0.279106870437756,0.0263175193133345,0.0729847774781313,1.16708370959413,1.85899169920583,1.07571416170772,3.21261006012039
GDF15,OTU99_298 (Phascolarctobacterium) abundance || id:ebi-gm430-GCST90011450,-0.738624622,0.308556399925568,0.0166744979620573,-1.343395166,-0.133854078,0.477770579058036,0.260958166610373,0.874717695860673
GDF15,TestASV_30 (Paraprevotella) abundance || id:ebi-gm430-GCST90011508,0.751112125364046,0.249101328920461,0.0025673576364557,0.262873520679943,1.23935073004815,2.11935569568927,1.30066220167704,3.45337056697666
GDF15,TestASV_38 (Ruminococcus) abundance || id:ebi-gm430-GCST90011516,0.617415361439887,0.279724918393109,0.0272984617358114,0.0691545213893943,1.16567620149038,1.8541295885539,1.07160178175196,3.20809146615136
GDF15,OTU97_106 (Ruminococcaceae) prevalence || id:ebi-gm430-GCST90011560,0.374268225195242,0.155395517613527,0.0160187569115883,0.0696930106727283,0.678843439717756,1.45392707803469,1.07217898322189,1.97159614329524
GDF15,OTU97_113 (Bacteroidales) prevalence || id:ebi-gm430-GCST90011564,-0.391306898,0.177424837701029,0.0274204427414148,-0.73905958,-0.043554216,0.676172608102321,0.477562814034495,0.95738064713487
GDF15,OTU97_4 (Alistipes) prevalence || id:ebi-gm430-GCST90011599,-0.444440661,0.159300713338772,0.0052716553802265,-0.756670059,-0.132211263,0.641182814081271,0.469226324129958,0.876155876027351
GDF15,OTU99_298 (Phascolarctobacterium) prevalence || id:ebi-gm430-GCST90011651,-0.826789406,0.317744783372783,0.0092666986606128,-1.449569181,-0.20400963,0.437451513424929,0.234671367157024,0.815454518018449
GDF15,TestASV_4 (Alistipes) prevalence || id:ebi-gm430-GCST90011715,-0.339275834,0.172405079878536,0.0490796269920611,-0.67718979,-0.001361877,0.712285949596599,0.508042694748004,0.998639049901863
GDF15,C-X-C motif chemokine 1 levels || id:ebi-IPs91-GCST90274779,-0.101160428,0.0439284186762159,0.0212874521790792,-0.187260128,-0.015060727,0.903788028496767,0.829228002539125,0.985052118299071
GDF15,Fms-related tyrosine kinase 3 ligand levels || id:ebi-IPs91-GCST90274791,-0.095445641,0.0436942586245803,0.0289330317878976,-0.181086388,-0.009804894,0.908967770709257,0.834363276521809,0.990243016965477
GDF15,Macrophage inflammatory protein 1a levels || id:ebi-IPs91-GCST90274825,-0.090421444,0.0434880548804282,0.0375966900036053,-0.175658031,-0.005184856,0.913546095848307,0.838904813475893,0.994828561993543
GDF15,Oncostatin-M levels || id:ebi-IPs91-GCST90274831,0.0936345535541617,0.0439369866942279,0.0330800776263296,0.0075180596334751,0.179751047474848,1.09815835451049,1.00754639119876,1.19691934993321
GDF15,Glucuronate levels || id:ebi-met1400-GCST90199641,0.112947073385982,0.0542946898148448,0.0375016882623649,0.0065294813488862,0.219364665423078,1.11957267618957,1.00655084488452,1.24528530639114
GDF15,Butyrylglycine levels || id:ebi-met1400-GCST90199706,0.145342465374694,0.0634687333510961,0.0220221697337331,0.0209437480065455,0.269741182742842,1.15643554159198,1.02116460747705,1.30962545319823
GDF15,Hyocholate levels || id:ebi-met1400-GCST90199734,-0.134985129,0.0660275801631369,0.040916522613255,-0.264399186,-0.005571072,0.873728904658524,0.767667036322748,0.994444417585789
GDF15,Hexanoylglutamine levels || id:ebi-met1400-GCST90199833,0.118022939424947,0.0540182720426114,0.0288983289545182,0.0121471262214284,0.223898752628465,1.12526992411625,1.01222120219201,1.25094435818821
