protein,mediator,beta_XM,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95
GHRL,G_Barnesiella abundance || id:ebi-gm430-GCST90011325,0.201749769370205,0.089653789342898,0.0244286009409141,0.0260283422581248,0.377471196482285,1.22354180216617,1.02637003770575,1.45859143062516
GHRL,OTU97_51 (Barnesiella) abundance || id:ebi-gm430-GCST90011402,0.19526785747731,0.0905844428747798,0.0311114337413587,0.017722349442742,0.372813365511879,1.21563656022645,1.01788032211339,1.45181335610354
GHRL,TestASV_12 (Bacteroides) abundance || id:ebi-gm430-GCST90011488,-0.280858042,0.12372791122562,0.0232096997831698,-0.523364748,-0.038351336,0.755135525294718,0.592523497730369,0.962374764454683
GHRL,OTU99_298 (Phascolarctobacterium) prevalence || id:ebi-gm430-GCST90011651,0.743844809628435,0.31153925065924,0.0169567602945591,0.133227878336325,1.35446174092054,2.1040094990617,1.14251032202012,3.87467481634174
GHRL,OTU99_40 (Proteobacteria) prevalence || id:ebi-gm430-GCST90011659,-0.559775245,0.273066372412366,0.0403682971748083,-1.094985335,-0.024565155,0.571337460507192,0.334544513112081,0.97573411305492
GHRL,TestASV_14 (Lachnospiraceae) prevalence || id:ebi-gm430-GCST90011687,-0.380156952,0.188243137805778,0.0434353129807161,-0.749113502,-0.011200402,0.683754084131078,0.472785490303722,0.988862088947759
GHRL,C-C motif chemokine 28 levels || id:ebi-IPs91-GCST90274769,0.0714649630686887,0.0345292256218458,0.0384809222131756,0.0037876808498709,0.139142245287506,1.07408051755673,1.00379486317824,1.14928756911767
GHRL,Cystatin D levels || id:ebi-IPs91-GCST90274777,0.0785253984763636,0.0352805708579544,0.0260315624998139,0.0093754795947729,0.147675317357954,1.08169082811232,1.0094195670763,1.15913648376292
GHRL,C-X-C motif chemokine 6 levels || id:ebi-IPs91-GCST90274783,0.102330872543941,0.0403230372343194,0.0111559075560898,0.0232977195646749,0.181364025523207,1.10774993513734,1.02357123137003,1.19885151241924
GHRL,Methionine sulfoxide levels || id:ebi-met1400-GCST90199625,0.157560492983214,0.0501406326639874,0.0016758527904154,0.0592848529617991,0.25583613300463,1.17065157204569,1.06107744874967,1.29154106964379
GHRL,N-acetylglutamate levels || id:ebi-met1400-GCST90199637,0.100564874234929,0.0501195080477753,0.0448027557846882,0.0023306384612892,0.198799110008568,1.10579537700624,1.00233335651029,1.21993686817486
GHRL,4-guanidinobutanoate levels || id:ebi-met1400-GCST90199640,0.147723444424367,0.0490519949310434,0.0025990172692237,0.0515815343595222,0.243865354489212,1.15919227094388,1.0529350331759,1.2761724880243
GHRL,4-acetylphenol sulfate levels || id:ebi-met1400-GCST90199663,0.13546359309709,0.0535680381583541,0.0114448732680889,0.0304702383067158,0.240456947887464,1.14506750671401,1.03093920709572,1.27183017767459
GHRL,2-linoleoylglycerol (18:2) levels || id:ebi-met1400-GCST90199685,0.145298307524548,0.0614987199184599,0.0181461048546406,0.0247608164843671,0.26583579856473,1.15638447701209,1.02506991137543,1.30452083690589
GHRL,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf) levels || id:ebi-met1400-GCST90199712,0.0980097727137697,0.0487555946426909,0.0444072558846763,0.0024488072140955,0.193570738213444,1.10297356410078,1.00245180799142,1.2135752296589
GHRL,1-stearoyl-gpc (18:0) levels || id:ebi-met1400-GCST90199732,0.111374645752809,0.0507819380009774,0.0282933989543953,0.0118420472708932,0.210907244234725,1.11781361253878,1.01191244191046,1.23479781513305
GHRL,4-hydroxyhippurate levels || id:ebi-met1400-GCST90199765,0.127828132214696,0.060953660734999,0.0359815148011269,0.0083589571740978,0.247297307255294,1.1363576826347,1.00839399080345,1.28055977590072
GHRL,1-oleoyl-GPE (18:1) levels || id:ebi-met1400-GCST90199794,0.14033340406076,0.0627222668918836,0.0252616618200178,0.0173977609526682,0.263269047168852,1.15065736875108,1.01754998349152,1.30117674978292
GHRL,Mannitol/sorbitol levels || id:ebi-met1400-GCST90199818,0.101321200146121,0.0514412753042783,0.0488787372849344,0.0004963005497354,0.202146099742506,1.10663203505554,1.00049642372723,1.22402682505245
GHRL,4-vinylphenol sulfate levels || id:ebi-met1400-GCST90199824,0.111459257246056,0.0500205309091612,0.0258625038380705,0.0134190166640996,0.209499497828011,1.11790819641909,1.01350945574997,1.2330607559021
GHRL,Pyrraline levels || id:ebi-met1400-GCST90199825,0.133737775766989,0.0510698839358963,0.0088260109553405,0.0336408032526319,0.233834748281346,1.14309303364678,1.03421305403676,1.26343569003661
GHRL,4-ethylphenylsulfate levels || id:ebi-met1400-GCST90199830,0.104907206622425,0.0499764503511408,0.0358051949532703,0.0069533639341895,0.202861049310661,1.11060754854846,1.00697759469841,1.22490225540942
GHRL,16a-hydroxy DHEA 3-sulfate levels || id:ebi-met1400-GCST90199863,-0.105446312,0.051950283412698,0.0423815180733153,-0.207268868,-0.003623757,0.899922786315259,0.812801084558559,0.996382801050595
GHRL,Tridecenedioate (C13:1-DC) levels || id:ebi-met1400-GCST90199867,-0.106745032,0.0491506957751631,0.0298714414722839,-0.203080396,-0.010409668,0.898754797667868,0.816212618946355,0.989644324996768
GHRL,13-HODE + 9-HODE levels || id:ebi-met1400-GCST90199875,0.149632042311395,0.0488776129508251,0.0022033290278139,0.053831920927778,0.245432163695012,1.16140681552817,1.05530721219059,1.27817357407738
GHRL,"Sphingomyelin (d18:1/18:1, d18:2/18:0) levels || id:ebi-met1400-GCST90199878",-0.128291237,0.0538075668907836,0.0171134996906337,-0.233754069,-0.022828406,0.8795971701764,0.791556460561468,0.977430190176877
GHRL,1-lignoceroyl-GPC (24:0) levels || id:ebi-met1400-GCST90199895,0.138808759650373,0.0502805993551596,0.0057680760003764,0.0402587849142604,0.237358734386486,1.148904362,1.04108015517371,1.26789587405056
GHRL,2-oxoarginine levels || id:ebi-met1400-GCST90199903,0.111365296952554,0.0492525641416785,0.0237526579135867,0.0148302712348645,0.207900322670244,1.11780316237144,1.01494078534958,1.23109045162397
GHRL,Prolylglycine levels || id:ebi-met1400-GCST90199922,0.159802733826926,0.0513888466624063,0.0018729179302974,0.0590805943686095,0.260524873285242,1.17327939982469,1.06086073669612,1.29761098929926
GHRL,Lanthionine levels || id:ebi-met1400-GCST90199931,0.138920624495778,0.0512467167317786,0.0067117051089526,0.0384770597014923,0.239364189290064,1.14903289131867,1.03922688790951,1.27044113339676
GHRL,2-hydroxydecanoate levels || id:ebi-met1400-GCST90199934,0.139136442569687,0.0497478421398264,0.0051606084442868,0.0416306719756273,0.236642213163747,1.14928090014556,1.04250937971161,1.26698772514141
GHRL,2-aminophenol sulfate levels || id:ebi-met1400-GCST90199950,0.147732666490267,0.0499318025277002,0.0030895089214451,0.0498663335359749,0.24559899944456,1.15920296114069,1.05113058607681,1.2783868369131
GHRL,Vanillactate levels || id:ebi-met1400-GCST90199978,0.134505030465119,0.0553039239000026,0.0150112944813221,0.026109339621114,0.242900721309124,1.14397041369118,1.02645317433914,1.27494204325818
GHRL,2-acetamidophenol sulfate levels || id:ebi-met1400-GCST90199981,0.112556353287511,0.0546764556222267,0.0395336218202247,0.0053905002679463,0.219722206307075,1.11913532209037,1.00540505515547,1.24573062640573
GHRL,Tyramine O-sulfate levels || id:ebi-met1400-GCST90199988,0.125394437363885,0.0535510103930567,0.0192018659346571,0.0204344569934939,0.230354417734276,1.13359549731523,1.02064466993062,1.25904615915029
GHRL,Arabitol/xylitol levels || id:ebi-met1400-GCST90200011,0.115456581948979,0.0465873945494225,0.013201770611898,0.0241452886321107,0.206767875265847,1.12238578168721,1.02443914644108,1.2296970955376
GHRL,3-hydroxyhexanoate levels || id:ebi-met1400-GCST90200012,-0.10331957,0.0487424057109901,0.0340308465734398,-0.198854685,-0.007784455,0.901838726905964,0.819668994794447,0.992245765684146
GHRL,"Sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2) levels || id:ebi-met1400-GCST90200013",-0.094793667,0.0482092138555842,0.0492642313639462,-0.189283726,-0.000303608,0.909560587712048,0.82755167554361,0.999696438504147
GHRL,"Sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0) levels || id:ebi-met1400-GCST90200017",-0.13032486,0.0481767716245788,0.0068275828372514,-0.224751333,-0.035898388,0.877810218886543,0.798714808317706,0.964738317553688
GHRL,"1,2-dilinoleoyl-GPC (18:2/18:2) levels || id:ebi-met1400-GCST90200030",0.120943683035931,0.0576315878870896,0.0358551881502402,0.0079857707772357,0.233901595294627,1.12856135342845,1.00801774209322,1.26352014976187
GHRL,"Sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0) levels || id:ebi-met1400-GCST90200047",-0.154264029,0.0509239232680607,0.0024511814827949,-0.254074918,-0.054453139,0.85704570654305,0.775633690772026,0.947002885308868
