protein,mediator,beta_XM,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95
LGALS4,Sulfate levels || id:ebi-cfmet338-GCST90026009,0.0418885188084459,0.0205464555404222,0.041477742515039,0.0016174659492184,0.0821595716676734,1.04277822211194,1.00161877475282,1.08562903164359
LGALS4,C_Erysipelotrichia abundance || id:ebi-gm430-GCST90011306,-0.107666934,0.0506798260913771,0.0336322399734934,-0.206999393,-0.008334475,0.897926615286389,0.813020143222863,0.991700160396465
LGALS4,F_Erysipelotrichaceae abundance || id:ebi-gm430-GCST90011312,-0.107666934,0.0506798260913771,0.0336322399734934,-0.206999393,-0.008334475,0.897926615286389,0.813020143222863,0.991700160396465
LGALS4,G_Holdemanella abundance || id:ebi-gm430-GCST90011332,-0.231167377,0.0784200272131206,0.003200332076462,-0.384870631,-0.077464124,0.793606623085113,0.680538671278838,0.925460225531405
LGALS4,O_Erysipelotrichales abundance || id:ebi-gm430-GCST90011352,-0.107666934,0.0506798260913771,0.0336322399734934,-0.206999393,-0.008334475,0.897926615286389,0.813020143222863,0.991700160396465
LGALS4,OTU99_34 (Holdemanella) abundance || id:ebi-gm430-GCST90011454,-0.222865829,0.105307177197091,0.0343158707805105,-0.429267896,-0.016463762,0.800222208770237,0.65098550925765,0.983671025395549
LGALS4,P_Proteobacteria abundance || id:ebi-gm430-GCST90011484,0.140137621627506,0.0506913463965381,0.0057005300174881,0.0407825826902917,0.239492660564721,1.15043211230293,1.04162561348612,1.27060435907323
LGALS4,TestASV_18 (Prevotella) abundance || id:ebi-gm430-GCST90011494,-0.378705294,0.171263264868041,0.0270187722029045,-0.714381293,-0.043029295,0.684747381874974,0.489494871803704,0.957883328290843
LGALS4,OTU97_130 (Butyrivibrio) prevalence || id:ebi-gm430-GCST90011570,-0.410992556,0.188116953609377,0.0289056060167879,-0.779701785,-0.042283326,0.662991867209591,0.458542735423729,0.958598145884646
LGALS4,OTU97_56 (Ruminococcaceae) prevalence || id:ebi-gm430-GCST90011605,0.206736023250789,0.104822815048455,0.0485819165969542,0.0012833057558175,0.412188740745761,1.22965792783098,1.00128413,1.51011943050039
LGALS4,C-C motif chemokine 28 levels || id:ebi-IPs91-GCST90274769,0.113583497850753,0.0457080181568548,0.0129558817610722,0.0239957822633179,0.203171213438189,1.12028542641257,1.02428599771289,1.22528223507376
LGALS4,C-X-C motif chemokine 6 levels || id:ebi-IPs91-GCST90274783,0.094428826266976,0.0430602141872595,0.0283110995788255,0.0100308064599474,0.178826846074005,1.09903093821466,1.01008128363348,1.19581366640914
LGALS4,Fibroblast growth factor 23 levels || id:ebi-IPs91-GCST90274789,-0.109863113,0.0467451043716579,0.0187603403309292,-0.201483518,-0.018242709,0.895956771662838,0.817517052049978,0.981922682438947
LGALS4,Interleukin-18 levels || id:ebi-IPs91-GCST90274803,0.0952820093689791,0.0472016661257335,0.0435272108535666,0.0027667437625415,0.187797274975417,1.09996901295758,1.00277057473035,1.20658888479274
LGALS4,Interleukin-8 levels || id:ebi-IPs91-GCST90274817,0.0933684459344884,0.0404238008335901,0.0209025854814398,0.0141377963006517,0.172599095568325,1.09786616508338,1.01423820758283,1.18838957892094
LGALS4,Hippurate levels || id:ebi-met1400-GCST90199624,-0.089411361,0.040095977091661,0.0257518610743385,-0.167999476,-0.010823246,0.914469319476993,0.845354277842373,0.989235115008958
LGALS4,3-phenylpropionate hydrocinnamate levels || id:ebi-met1400-GCST90199635,-0.090269438,0.0402800015751014,0.0250229325187062,-0.169218241,-0.011320635,0.913684970862186,0.844324617149385,0.988743202582391
LGALS4,Gentisate levels || id:ebi-met1400-GCST90199646,-0.10809536,0.0449848345177025,0.0162643486471457,-0.196265635,-0.019925084,0.897542003077861,0.821793908224703,0.980272108647401
LGALS4,1-stearoyl-2-oleoyl-GPS (18:0/18:1) levels || id:ebi-met1400-GCST90199652,-0.084485348,0.0405907188292845,0.0373977000832944,-0.164043157,-0.00492754,0.918985119828568,0.848705393203937,0.99508458085572
LGALS4,Butyrylglycine levels || id:ebi-met1400-GCST90199706,0.113006004380753,0.0487943259498157,0.0205601201456356,0.0173691255191139,0.208642883242391,1.1196386556652,1.01752084592377,1.23200495034742
LGALS4,Pro-hydroxy-pro levels || id:ebi-met1400-GCST90199707,0.112572372258078,0.0397626567210418,0.0046387067048508,0.0346375650848357,0.19050717943132,1.11915324962974,1.03524443206913,1.20986305973504
LGALS4,Sebacate (C10-DC) levels || id:ebi-met1400-GCST90199718,0.0969671573914088,0.0394764378625018,0.0140364208134448,0.0195933391809052,0.174340975601912,1.10182418624628,1.01978654845963,1.19046141492162
LGALS4,Campesterol levels || id:ebi-met1400-GCST90199725,-0.156194,0.0499069039123919,0.0017498057612101,-0.254011532,-0.058376469,0.855393227805793,0.775682856913213,0.943294759778195
LGALS4,Stachydrine levels || id:ebi-met1400-GCST90199738,0.0978105333461538,0.0396865477696592,0.0137175274183868,0.0200248997176218,0.175596166974686,1.10275383023591,1.0202267430683,1.19195661000092
LGALS4,Salicyluric glucuronide levels || id:ebi-met1400-GCST90199739,-0.148505234,0.0532046134881755,0.005251143677144,-0.252786276,-0.044224192,0.861995495482417,0.776633849048395,0.956739440525822
LGALS4,Hexanoylglycine levels || id:ebi-met1400-GCST90199781,0.137229660252138,0.0458772678274442,0.0027785215442002,0.0473102153103475,0.227149105193929,1.14709155960852,1.04844720301144,1.25501698354069
LGALS4,1-arachidonoyl-GPE (20:4n6) levels || id:ebi-met1400-GCST90199791,0.0794316077901421,0.0397170009399223,0.0455067733006794,0.0015862859478944,0.15727692963239,1.08267151070012,1.00158754476498,1.1703196652238
LGALS4,Catechol sulfate levels || id:ebi-met1400-GCST90199803,-0.11643474,0.0481242924461455,0.0155436242542275,-0.210758353,-0.022111126,0.890088182534786,0.809969770114098,0.978131532707048
LGALS4,Taurolithocholate 3-sulfate levels || id:ebi-met1400-GCST90199809,-0.092479767,0.040104731,0.021113061089411,-0.17108504,-0.013874494,0.911667656455277,0.84274990270273,0.986221313299672
LGALS4,"3,4-dihydroxybutyrate levels || id:ebi-met1400-GCST90199816",0.0768643679996067,0.0376936961550411,0.0414317044705299,0.0029847235357261,0.150744012463487,1.07989559805907,1.00298918225793,1.16269898353446
LGALS4,O-cresol sulfate levels || id:ebi-met1400-GCST90199823,-0.103182052,0.0441787502871173,0.0195142679327747,-0.189772403,-0.016591702,0.901962754312979,0.827147369053731,0.983545182642065
LGALS4,Hexanoylglutamine levels || id:ebi-met1400-GCST90199833,0.0772731754480946,0.0391854066308394,0.0486109070869775,0.0004697784516494,0.15407657244454,1.08033715767343,1.00046988881483,1.16658021125703
LGALS4,N-methylproline levels || id:ebi-met1400-GCST90199836,0.0860538361571919,0.039902737621387,0.0310376415314601,0.0078444704192734,0.16426320189511,1.08986500086927,1.0078753188879,1.17852446414742
LGALS4,Taurocholenate sulfate levels || id:ebi-met1400-GCST90199839,-0.081911383,0.039798897052329,0.0395774650237224,-0.159917221,-0.003905545,0.921353602535171,0.852214331181307,0.9961020717967
LGALS4,Glycocholenate sulfate levels || id:ebi-met1400-GCST90199841,0.0805116367465768,0.0394653550031416,0.0413444898378368,0.0031595409404192,0.157863732552734,1.08384145895725,1.00316453755084,1.17100661375308
LGALS4,"5alpha-pregnan-3beta,20alpha-diol monosulfate (2) levels || id:ebi-met1400-GCST90199854",-0.099450674,0.0400125108198251,0.0129373416834902,-0.177875195,-0.021026153,0.90533460524589,0.837046884381494,0.979193355532729
LGALS4,5alpha-pregnan-diol disulfate levels || id:ebi-met1400-GCST90199857,-0.114319649,0.0554236566945903,0.0391458193286656,-0.222950016,-0.005689282,0.89197279229969,0.800154843318802,0.994326871662654
LGALS4,4-oxo-retinoic acid levels || id:ebi-met1400-GCST90199894,-0.099220345,0.0413505889687602,0.0164179061542563,-0.180267499,-0.018173191,0.905543154039268,0.835046806944048,0.981990945906736
LGALS4,Pregnanediol-3-glucuronide levels || id:ebi-met1400-GCST90199917,-0.098918572,0.0435186538295787,0.0230252498397998,-0.184215133,-0.01362201,0.905816463982675,0.831756845938747,0.98647034939163
LGALS4,Dihydroferulate levels || id:ebi-met1400-GCST90199921,-0.099976549,0.0453489739833086,0.0274818641853645,-0.188860538,-0.01109256,0.9048586374183,0.827901959309948,0.98896873537169
LGALS4,2-aminooctanoate levels || id:ebi-met1400-GCST90199937,0.0859551770850381,0.0399643155583673,0.0314921329907222,0.0076251185906382,0.164285235579438,1.0897574811035,1.00765426383896,1.17855043166951
LGALS4,Dimethyl sulfone levels || id:ebi-met1400-GCST90199942,0.103462471227871,0.0494667993230027,0.0364784505768101,0.0065075445547856,0.200417397900956,1.10900417301919,1.00652876462807,1.22191267551946
