Row_Name,PhecodeString,coef,lower_CI,upper_CI,pvalue,PhecodeCategory
CD276,Cystatin_C,0.091882959,0.088127342,0.095638576,0,Biochemical indicators
CD276,Creatinine1,5.540167393,5.189363003,5.890971784,2.77E-208,Biochemical indicators
CD276,Haemoglobin_concentration,-0.283842315,-0.306115853,-0.261568777,8.15E-137,Biochemical indicators
CD276,Haematocrit_percentage,-0.780689805,-0.846139558,-0.715240051,3.30E-120,Biochemical indicators
CD276,Apolipoprotein_B1,-0.057940048,-0.063303623,-0.052576473,4.96E-99,Biochemical indicators
CD276,Red_blood_cell_erythrocyte_count,-0.083361649,-0.091496865,-0.075226434,2.38E-89,Biochemical indicators
CD276,Urea,0.322974279,0.290556776,0.355391783,1.39E-84,Biochemical indicators
CD276,Glycated_haemoglobin_HbA1c,1.502193358,1.348284734,1.656101983,2.90E-81,Biochemical indicators
CD276,LDL_direct,-0.184367226,-0.203896586,-0.164837867,3.63E-76,Biochemical indicators
CD276,Cholesterol1,-0.221877231,-0.247304784,-0.196449678,2.24E-65,Biochemical indicators
CD276,Red_blood_cell_erythrocyte_distribution_width,0.187938961,0.166165871,0.209712051,5.09E-64,Biochemical indicators
CD276,SHBG,5.053769233,4.449984804,5.657553662,2.68E-60,Biochemical indicators
CD276,Glucose1,0.240877192,0.210919615,0.270834769,8.47E-56,Biochemical indicators
CD276,Alkaline_phosphatase,4.646871318,4.061743561,5.231999076,1.71E-54,Biochemical indicators
CD276,Albumin1,-0.454542926,-0.515830351,-0.393255501,9.25E-48,Biochemical indicators
CD276,Platelet_count,-8.908280314,-10.19908231,-7.617478315,1.30E-41,Biochemical indicators
CD276,Platelet_crit,-0.006957013,-0.008003506,-0.005910519,9.64E-39,Biochemical indicators
CD276,Total_protein,-0.572535174,-0.669337561,-0.475732787,5.02E-31,Biochemical indicators
CD276,Aspartate_aminotransferase,1.211744965,0.967126352,1.456363578,2.90E-22,Biochemical indicators
CD276,Direct_bilirubin,0.095379926,0.073537063,0.117222789,1.18E-17,Biochemical indicators
CD276,Phosphate,0.014454938,0.010764854,0.018145021,1.65E-14,Biochemical indicators
CD276,Mean_reticulocyte_volume,0.619154502,0.442139964,0.79616904,7.19E-12,Biochemical indicators
CD276,High_light_scatter_reticulocyte_count,-7.79E-04,-0.001017845,-5.40E-04,1.67E-10,Biochemical indicators
CD276,Reticulocyte_count,-0.003010056,-0.003945945,-0.002074167,2.93E-10,Biochemical indicators
CD276,Calcium,-0.007012254,-0.009212258,-0.00481225,4.22E-10,Biochemical indicators
CD276,IGF_1,0.381258769,0.256425997,0.50609154,2.17E-09,Biochemical indicators
CD276,Vitamin_D,1.425654517,0.949464863,1.901844172,4.44E-09,Biochemical indicators
CD276,Eosinophill_count,0.00852063,0.005428528,0.011612732,6.66E-08,Biochemical indicators
